Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Complement	36/200	3.56333433966548e-12	1.71040048303943e-10	0	0	4.57248500820179	120.532188117289	C1QA;DOCK4;SERPINA1;ITGAM;LRP1;SERPINE1;PLEK;PLA2G7;CLU;C2;C3;CASP5;CTSL;CA2;KYNU;CCL5;TIMP2;ME1;CTSH;TIMP1;CTSD;CTSB;LYN;FCER1G;FN1;PLAUR;MMP12;MMP14;APOC1;GNB4;SERPING1;S100A9;CFB;LGMN;C1QC;HSPA1A
Coagulation	27/138	2.55204012360133e-10	6.1248962966432e-09	0	0	5.03109878437389	111.131728947814	CFD;C1QA;CPB2;SPARC;SERPINA1;LRP1;SERPINE1;PLEK;CLU;C2;C3;CTSH;TIMP1;A2M;CTSB;ANXA1;GSN;MMP2;FN1;MMP14;DCT;ACOX2;MEP1A;APOC1;SERPING1;CFB;LGMN
Inflammatory Response	29/200	7.09526098101054e-08	1.13524175696169e-06	0	0	3.5042548018478	57.684427148232	CXCL9;SERPINE1;LPAR1;CCL7;CCL5;STAB1;PDPN;CLEC5A;PROK2;CCL2;CD14;TIMP1;CCL17;SCN1B;LYN;MSR1;CCL24;SLC31A2;TNFSF15;IL18;PLAUR;CYBB;MARCO;CXCL10;PTPRE;MMP14;AXL;MEP1A;MXD1
Apoptosis	23/161	2.04076380264739e-06	2.44891656317687e-05	0	0	3.42735507246377	44.9058450428113	IFITM3;JUN;ANXA1;GSN;GADD45B;GPX3;IFNB1;HGF;MMP2;IL18;HSPB1;SOD2;CLU;RHOB;DNAJA1;TIMP2;TXNIP;HMOX1;BMF;CD14;TIMP1;ATF3;IER3
TNF-alpha Signaling via NF-kB	25/200	8.62578261103275e-06	8.28075130659144e-05	0	0	2.93837535014006	34.2636746495047	SERPINE1;PLEK;CXCL3;KYNU;CCL5;DNAJB4;CCL2;IER5;IER3;EGR1;JUN;EGR2;GADD45B;DUSP1;IL18;PLAUR;FOS;SOD2;RHOB;CXCL10;PTPRE;MARCKS;FOSB;MXD1;ATF3
Epithelial Mesenchymal Transition	23/200	7.33023727066693e-05	0.000502644841417161	0	0	2.66666666666667	25.3891135461095	JUN;SPARC;GADD45B;ITGB5;LRP1;MMP2;SERPINE1;FN1;PLAUR;CAPG;RHOB;MMP14;DAB2;LGALS1;CXCL12;COL6A2;COL8A2;SERPINH1;SPP1;PMP22;TIMP1;TGFBI;TGM2
KRAS Signaling Up	23/200	7.33023727066693e-05	0.000502644841417161	0	0	2.66666666666667	25.3891135461095	NRP1;ADAMDEC1;PLVAP;ACE;FCER1G;TMEM176B;TMEM176A;PLAUR;F13A1;CSF2RA;CLEC4A;CXCL10;MAFB;GPNMB;FGF9;CA2;BTBD3;EPB41L3;MAP7;SPP1;LCP1;SCN1B;CFB
IL-6/JAK/STAT3 Signaling	13/87	0.000210379246062686	0.00126227547637611	0	0	3.58586166811973	30.3600518178353	CXCL9;JUN;CXCL3;CSF2RA;CXCL10;CCL7;PDGFC;HMOX1;CD14;LTBR;A2M;TNFRSF21;IL13RA1
p53 Pathway	21/200	0.000516499488344914	0.00275466393783954	0	0	2.40210133423818	18.1801508383021	TSPYL2;JUN;ZBTB16;HSPA4L;FOS;IFI30;ALOX15B;PTPRE;RAP2B;TCN2;TXNIP;HMOX1;STOM;S100A4;NUPR1;MXD1;IER5;CTSD;ATF3;IER3;S100A10
UV Response Up	17/158	0.00129745427696991	0.00622778052945555	0	0	2.4629076482392	16.371812068834	LYN;GPX3;SLC6A12;FOS;SOD2;RHOB;DNAJA1;STIP1;DNAJB1;MMP14;CA2;CREG1;HMOX1;FOSB;FKBP4;NPTX2;ATF3
IL-2/STAT5 Signaling	19/199	0.00281949124050931	0.0123032345040406	0	0	2.15646344396344	12.6610256307523	IFITM3;NRP1;GADD45B;AHNAK;FGL2;CAPG;GPR83;PTH1R;DHRS3;HOPX;RHOB;CXCL10;CDCP1;CA2;SPP1;MXD1;SMPDL3A;TNFRSF21;TGM2
Angiogenesis	6/36	0.00626257214762791	0.0227021401987075	0	0	4.06125933831377	20.6034358559214	NRP1;SPP1;LPL;S100A4;TIMP1;TNFRSF21
Hypoxia	18/200	0.00662145755795634	0.0227021401987075	0	0	2.01811701811702	10.1257805637036	SRPX;JUN;DUSP1;SERPINE1;PLAUR;FOS;JMJD6;LDHC;MT2A;P4HA2;HMOX1;S100A4;TGFBI;FBP1;ATF3;IER3;MT1E;TGM2
Xenobiotic Metabolism	18/200	0.00662145755795634	0.0227021401987075	0	0	2.01811701811702	10.1257805637036	TMEM176B;PTGES3;TAT;SERPINE1;SLC6A12;RAP1GAP;MT2A;ALDH2;ACOX2;CA2;KYNU;PDK4;HMOX1;AOX1;BLVRB;APOE;FBP1;CFB
Allograft Rejection	17/200	0.0139187177834331	0.0445398969069859	0	0	1.89343672178357	8.09353454012869	PRKCG;LYN;CXCL9;SPI1;IGSF6;IL18;CAPG;C2;CCL7;CCL5;STAB1;HLA-DRA;CCL2;TIMP1;FCGR2B;RPL39;ELANE
Interferon Gamma Response	16/200	0.0276457405413537	0.0829372216240612	0	0	1.77036724356268	6.35257976732924	IFITM3;BATF2;CXCL9;FGL2;IFI30;SOD2;CXCL10;MT2A;IFI27;CCL7;CCL5;SERPING1;TXNIP;CCL2;FCGR1A;CFB
UV Response Dn	12/144	0.0398376279740006	0.112482714279531	0	0	1.84796406600918	5.95588356566861	NRP1;DAB2;PLCB4;DUSP1;SCHIP1;SERPINE1;KCNMA1;KIT;LPAR1;PMP22;MGLL;MT1E
Myogenesis	15/200	0.0517902567966985	0.138107351457863	0	0	1.64888164026095	4.88160188267562	CFD;SVIL;SPARC;GSN;GADD45B;CKM;ITGB5;GPX3;SCHIP1;CLU;MYOM2;FABP3;MRAS;TNNT1;COL6A2
Cholesterol Homeostasis	7/74	0.0594719831998738	0.150245010189155	0	0	2.11969001148106	5.98229502449895	PLAUR;LPL;CLU;ATF3;S100A11;CXCL16;LGMN
Unfolded Protein Response	9/113	0.0859712187298889	0.199298416061425	0	0	1.75606366331741	4.30892840280696	TSPYL2;HSPA9;SERP1;BAG3;DNAJA4;NABP1;CCL2;CHAC1;ATF3
Hedgehog Signaling	4/36	0.0878615437417339	0.199298416061425	0	0	2.53261448349308	6.15930087313092	NRP1;NRP2;RTN1;TLE1
mTORC1 Signaling	14/200	0.0913451073614864	0.199298416061425	0	0	1.52895355162795	3.65895488533981	HSPA9;HSPA4;FGL2;CACYBP;IFI30;HSPE1;HSPD1;STIP1;SERP1;PRDX1;SERPINH1;ME1;NUPR1;LGMN
Apical Surface	4/44	0.152114074856932	0.317455460570988	0	0	2.02523961661342	3.81377843587441	LYN;SRPX;PLAUR;HSPB1
Interferon Alpha Response	7/97	0.173424090511586	0.346848181023173	0	0	1.57608024691358	2.76131669716333	IFITM3;CXCL10;BATF2;IFI27;TXNIP;TENT5A;IFI30
Reactive Oxygen Species Pathway	4/49	0.199088066051438	0.382249086818761	0	0	1.79973967577801	2.90479425114267	GPX3;PRDX1;SOD2;FTL
Adipogenesis	12/200	0.235652973701806	0.403976526345953	0	0	1.29366729894645	1.8698602540288	C3;ALDH2;GPX3;PTGER3;UBC;ME1;LPL;NABP1;STOM;APOE;CD302;MGLL
Estrogen Response Early	12/200	0.235652973701806	0.403976526345953	0	0	1.29366729894645	1.8698602540288	SVIL;RAB31;CXCL12;OLFML3;ALDH3B1;MPPED2;BLVRB;FOS;RAB17;FKBP4;DHRS3;TGM2
