Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
TNF-alpha Signaling via NF-kB	47/200	1.16872575823238e-16	5.72675621533864e-15	0	0	5.11380238369858	187.602128504961	BTG2;CEBPB;TNFAIP6;BCL2A1;SERPINE1;PLEK;TNFAIP2;CXCL1;PTGS2;CXCL3;LITAF;CXCL2;IFIT2;PLAU;KYNU;CCL5;DNAJB4;OLR1;CCL2;IER5;IER2;IER3;ABCA1;EGR1;GADD45B;LAMB3;DUSP1;SPHK1;IL18;PLAUR;G0S2;FOS;SOD2;FOSL2;RHOB;VEGFA;NR4A2;CXCL10;PTPRE;MARCKS;NR4A3;IL1B;BHLHE40;FOSB;PTX3;MXD1;ATF3
Inflammatory Response	45/200	2.96658700021395e-15	7.26813815052418e-14	0	0	4.82390081506142	161.366063323852	BTG2;CSF3;CXCL9;CSF3R;CXCL8;TNFAIP6;PTGER2;AQP9;SERPINE1;PTAFR;C5AR1;FPR1;LPAR1;ADM;BEST1;CCL7;CCL5;STAB1;CLEC5A;PROK2;OLR1;CCL2;CD14;TIMP1;SCARF1;SCN1B;CMKLR1;LYN;ABCA1;MSR1;CCL24;TNFSF15;SPHK1;IL18;PLAUR;CYBB;EREG;MARCO;CXCL10;PTPRE;MMP14;AXL;MEP1A;IL1B;MXD1
Complement	40/200	5.75305879679316e-12	9.39666270142882e-11	0	0	4.13441098317095	107.003887310691	FCN1;C1QA;DOCK4;CEBPB;SERPINA1;ITGAM;LRP1;SERPINE1;PLEK;CXCL1;PLA2G7;CLU;C2;C3;CASP5;CTSL;CA2;KYNU;CCL5;S100A13;TIMP2;ME1;S100A12;OLR1;TIMP1;CD36;CTSD;LYN;FCER1G;FN1;PLAUR;MMP12;MMP14;APOC1;SERPING1;S100A9;CFB;LGMN;C1QC;HSPA1A
Coagulation	29/138	1.39422438060777e-09	1.70792486624452e-08	0	0	4.3693706743924	89.0955209736329	CFD;C1QA;CPB2;SPARC;SERPINA1;LRP1;SERPINE1;PLEK;CLU;PRSS23;C2;C3;PLAU;S100A13;OLR1;TIMP1;A2M;ANXA1;GSN;FN1;MMP9;MMP14;DCT;ACOX2;MEP1A;APOC1;SERPING1;CFB;LGMN
Apoptosis	27/161	6.79528174791359e-07	6.65937611295532e-06	0	0	3.29886687403612	46.8500690583005	IFITM3;BTG2;HSPB1;CLU;TIMP2;HMOX1;BMF;CD14;TIMP1;IER3;ANXA1;GSN;GADD45B;GPX3;IFNGR1;IFNB1;HGF;IL18;SOD2;EREG;RHOB;TGFBR3;DNAJA1;FEZ1;IL1B;TXNIP;ATF3
KRAS Signaling Up	30/200	1.9087784019467e-06	1.55883569492314e-05	0	0	2.89123586221143	38.074821248571	NRP1;ADAMDEC1;F13A1;PTGS2;CSF2RA;GPNMB;FGF9;PLAU;CA2;BTBD3;EPB41L3;SPP1;EPHB2;SCN1B;CMKLR1;FCER1G;GALNT3;TMEM176B;TMEM176A;PLAUR;G0S2;MMP9;EREG;LAT2;CLEC4A;CXCL10;MAFB;IL1B;LCP1;CFB
IL-6/JAK/STAT3 Signaling	18/87	2.28457852785166e-06	1.59920496949616e-05	0	0	4.25233256525517	55.234946717453	CXCL9;CSF3R;TGFB1;IFNGR1;CXCL1;CXCL3;CSF2RA;CXCL10;CCL7;IL1B;PDGFC;HMOX1;CD36;CD14;LTBR;A2M;TNFRSF21;IL13RA1
Epithelial Mesenchymal Transition	27/200	4.2562804395877e-05	0.000260697176924747	0	0	2.54986181832906	25.6631603134227	SPARC;CXCL8;LRP1;SERPINE1;CAPG;CXCL1;LGALS1;ANPEP;SERPINH1;SPP1;TIMP1;TGM2;TGFB1;GADD45B;FN1;PLAUR;RHOB;VEGFA;TGFBR3;MMP14;DAB2;CXCL12;COL6A2;COL8A2;PMP22;PTX3;TGFBI
IL-2/STAT5 Signaling	26/199	0.000101686979981863	0.000553629113234588	0	0	2.45327426557229	22.5544499777842	IFITM3;NRP1;AHNAK;PTGER2;FGL2;CAPG;GPR83;PTH1R;GLIPR2;CA2;SPP1;TNFSF11;TGM2;XBP1;GADD45B;IFNGR1;DHRS3;HOPX;RHOB;SERPINB6;CXCL10;CDCP1;BHLHE40;MXD1;SMPDL3A;TNFRSF21
Angiogenesis	9/36	0.000172944341585669	0.000847427273769777	0	0	5.40344827586207	46.8075908270533	NRP1;SPP1;LPL;OLR1;S100A4;TIMP1;TNFRSF21;VEGFA;FGFR1
Allograft Rejection	25/200	0.000275186345359704	0.00122583008387504	0	0	2.32967032967033	19.0987819659464	CXCL9;SPI1;IGSF6;CAPG;C2;CCL7;CCL5;STAB1;CCL2;TIMP1;RPL39;ELANE;PRKCG;LYN;TGFB1;IFNGR1;IL18;MMP9;EREG;NCR1;FGR;IL1B;HLA-DRA;KLRD1;FCGR2B
Interferon Gamma Response	24/200	0.000656290555575032	0.00247371055562897	0	0	2.22171496625645	16.2827422504429	IFITM3;BATF2;CXCL9;AUTS2;TNFAIP6;FGL2;FPR1;TNFAIP2;IFI30;PTGS2;SOD2;IFIT2;IL18BP;CXCL10;MT2A;IFI27;CCL7;CCL5;SERPING1;TXNIP;CCL2;FCGR1A;CFB;CMKLR1
p53 Pathway	24/200	0.000656290555575032	0.00247371055562897	0	0	2.22171496625645	16.2827422504429	TSPYL2;BTG2;TGFB1;SPHK1;ZBTB16;HSPA4L;FOS;IFI30;ALOX15B;PTPRE;RAP2B;RXRA;TCN2;TXNIP;HMOX1;STOM;S100A4;NUPR1;MXD1;IER5;CTSD;ATF3;IER3;S100A10
Hypoxia	23/200	0.0014974819274017	0.00489177429617888	0	0	2.11515366640045	13.7568966189297	SRPX;DUSP1;SDC2;SERPINE1;PLAUR;ADM;FOS;JMJD6;FOSL2;VEGFA;PLAC8;LDHC;MT2A;HAS1;BHLHE40;HMOX1;S100A4;TGFBI;FBP1;ATF3;IER3;MT1E;TGM2
