p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	4.99545038670965	0.439	0.031	0	c18	CD79A
0	4.11300580190098	0.367	0.024	0	c18	MS4A1
0	5.51640337417572	0.226	0.01	0	c18	BANK1
0	4.25745001191903	0.229	0.013	0	c18	IGHM
0	5.06700903024532	0.217	0.01	0	c18	RUBCNL
0	5.27163564453718	0.199	0.009	0	c18	GNG7
0	5.73953072651102	0.187	0.006	0	c18	LINC00926
0	6.62711809467157	0.145	0.004	0	c18	FCER2
7.39633940693957e-307	5.19924488147418	0.166	0.007	2.48058431029939e-302	c18	CD24
2.59985393983521e-273	6.03044403246668	0.09	0.002	8.71939014341932e-269	c18	FAM177B
2.11763122074683e-253	4.66806260489143	0.185	0.01	7.10211158814071e-249	c18	VPREB3
9.51735179977709e-250	5.00798049128583	0.18	0.01	3.19192944660924e-245	c18	TNFRSF13C
3.89591670377076e-244	5.97710520109869	0.12	0.004	1.30661254411064e-239	c18	LINC02397
1.2328266492019e-242	5.67278992899509	0.136	0.006	4.13465401609335e-238	c18	FAM129C
3.93754613615044e-242	4.48950692397425	0.236	0.017	1.32057422314214e-237	c18	PDLIM1
9.33226234906814e-242	4.87018389619586	0.187	0.011	3.12985414663047e-237	c18	CD19
3.15124794365842e-235	4.95138986650973	0.173	0.01	1.05686553534416e-230	c18	LY86
1.77575701024684e-227	5.47565024888911	0.127	0.005	5.95553386096584e-223	c18	FCRL1
8.65693248534741e-226	3.29091884008283	0.178	0.01	2.90336201693582e-221	c18	TCL1A
2.97764873188222e-224	4.02122338106778	0.333	0.037	9.9864383169866e-220	c18	LYN
4.55146100856879e-223	6.23266337854312	0.067	0.001	1.5264689930538e-218	c18	CNN3
2.56540839793243e-215	6.20185829392737	0.145	0.007	8.6038666849858e-211	c18	NTS
2.96407071308868e-202	6.79055335021299	0.046	0.001	9.94090035755682e-198	c18	CHMP4C
1.15579516555727e-193	4.74042686422553	0.173	0.012	3.87630582624598e-189	c18	BLK
2.83363480811608e-193	5.21530126013227	0.104	0.004	9.5034444194597e-189	c18	IGHD
6.18160046495012e-190	3.76913315294784	0.208	0.017	2.07318516393497e-185	c18	MEF2C
1.16525553047037e-184	4.70617740235086	0.166	0.011	3.90803399809154e-180	c18	RALGPS2
1.04989885693837e-177	4.2368655685884	0.182	0.014	3.5211507863999e-173	c18	AFF3
4.53266403448015e-166	5.5532029148832	0.092	0.004	1.52016486388395e-161	c18	ARHGAP24
5.68091161515401e-155	6.96995430800199	0.046	0.001	1.90526413749035e-150	c18	COL19A1
1.9358839438347e-153	3.50368282625702	0.275	0.036	6.49256757083282e-149	c18	IRF8
5.6570065628154e-151	5.07824727063916	0.106	0.006	1.89724686103703e-146	c18	MARCH1
9.04409459692241e-150	4.10788880575949	0.185	0.017	3.03320844591584e-145	c18	ADAM28
3.36661411786299e-144	4.01066283035207	0.145	0.011	1.12909504284889e-139	c18	PHACTR1
3.74474139655581e-143	5.08248928827823	0.069	0.002	1.25591136957689e-138	c18	DSP
1.06375406574183e-137	5.14937645407541	0.111	0.007	3.56761838568495e-133	c18	BTK
1.82835222092035e-136	6.92097840851727	0.048	0.001	6.13192767852266e-132	c18	KHDRBS2
2.91425712635959e-134	3.573664098886	0.296	0.046	9.77383555038479e-130	c18	YBX3
1.1981752715207e-131	3.85046155953856	0.162	0.015	4.01844022562613e-127	c18	PKIG
1.62032272862593e-127	7.44845564911351	0.039	0.001	5.43423836726565e-123	c18	SERPINB3
7.02261337549726e-127	4.6482253885321	0.109	0.007	2.35524407387427e-122	c18	C16orf74
1.63970739943928e-125	5.0908209021747	0.072	0.003	5.49925067623947e-121	c18	AC120193.1
2.78237750715538e-123	6.68398886020409	0.032	0.001	9.3315376834977e-119	c18	DIRAS1
5.91288670199922e-117	3.68716399916534	0.141	0.013	1.9830639421165e-112	c18	GRASP
9.06467063648417e-114	4.13659825460545	0.099	0.007	3.04010923806406e-109	c18	RNASE6
5.89610527398935e-113	4.26751282053259	0.145	0.014	1.97743578679055e-108	c18	TCF4
4.41726552007916e-110	4.10486738748369	0.111	0.008	1.48146251012415e-105	c18	CD22
6.72204024534472e-105	5.20781638746758	0.051	0.002	2.25443785748371e-100	c18	MOB3B
2.33651188635251e-102	4.39477827409769	0.106	0.008	7.83619356444905e-98	c18	BCL11A
1.09033268018748e-101	4.77330209092587	0.083	0.005	3.65675774281277e-97	c18	FAM30A
1.84225470886449e-100	3.46935933186821	0.208	0.03	6.17855384258974e-96	c18	CD72
1.38691365334977e-96	3.92247485426178	0.208	0.031	4.65143101060445e-92	c18	IGKC
3.07209650939135e-95	4.63132172893489	0.095	0.007	1.03031972731967e-90	c18	PAX5
3.69825109750706e-95	7.07450346916538	0.014	0	1.24031945308192e-90	c18	SYN3
1.69234272963563e-94	6.12752319617645	0.032	0.001	5.67577904665199e-90	c18	ABCB4
4.60639232667783e-92	5.51104933892578	0.044	0.002	1.54489185852121e-87	c18	IL6
2.74947928695724e-88	6.88559985939129	0.03	0.001	9.22120363259719e-84	c18	THRB
2.03917779099464e-87	2.93144314159746	0.335	0.081	6.83899447543783e-83	c18	LY9
1.10305791524794e-86	2.80166736224368	0.462	0.156	3.69943563615854e-82	c18	CD83
5.43569776386378e-86	2.80803565866945	0.266	0.053	1.82302431604463e-81	c18	BACH2
1.20642019334356e-85	3.45585195078465	0.145	0.018	4.04609204443564e-81	c18	SWAP70
7.28188134288465e-85	0.797638967539101	0.977	0.962	2.44219736477666e-80	c18	RPL8
1.62756556848434e-84	6.18752762297548	0.032	0.001	5.45852940358278e-80	c18	JADE3
1.34048385191225e-82	0.684489994317118	0.995	0.992	4.49571474254331e-78	c18	RPL39
9.45449050097617e-78	2.36210834290893	0.527	0.21	3.17084702421739e-73	c18	CD55
5.22845227256166e-76	1.0132399161323	0.903	0.899	1.75351832317173e-71	c18	RPS5
2.25055905230701e-75	0.907096484906877	0.954	0.972	7.54792494962724e-71	c18	RPS23
9.23420637188002e-75	2.69731082915499	0.591	0.317	3.09696813300112e-70	c18	HLA-DRA
2.53851790447641e-74	5.10825814624754	0.048	0.002	8.51368134803298e-70	c18	GAPT
2.94231607639079e-74	0.911505500182411	0.956	0.971	9.86793965699942e-70	c18	RPS8
1.05409901510195e-73	8.12343931084396	0.012	0	3.53523727684891e-69	c18	PDLIM3
2.56718444687085e-73	4.03703700168677	0.079	0.006	8.60982319791545e-69	c18	FCGR2B
2.27283098970549e-71	0.779928787202653	0.954	0.964	7.62262057327428e-67	c18	RPS13
6.87346691380892e-70	0.680659253286505	0.965	0.955	2.30522333355324e-65	c18	RPS21
3.92925970535304e-69	4.03957883906243	0.083	0.007	1.3177951199813e-64	c18	IGHV5-78
3.96777783222272e-69	5.22740955738688	0.044	0.002	1.33071332937086e-64	c18	DDR1
4.50660098338618e-68	5.13578883712469	0.06	0.004	1.51142383780806e-63	c18	JUP
2.34702090279008e-67	3.89341480760929	0.085	0.008	7.87143870377737e-63	c18	FCRLA
6.59639137206925e-67	0.72272343945018	0.988	0.987	2.21229773836459e-62	c18	RPL13
2.82990197803411e-65	3.75086925379263	0.113	0.014	9.49092525393081e-61	c18	CALHM6
3.50867852780886e-65	0.808768216227945	0.933	0.951	1.17674060465653e-60	c18	RPS3A
3.07344214976814e-64	4.47267240749418	0.081	0.008	1.03077102818924e-59	c18	UBE2E2
6.61567850037435e-64	0.704341855258893	0.958	0.988	2.21876625545555e-59	c18	RPL32
8.24493795744292e-63	2.75050317608937	0.192	0.037	2.76518729216721e-58	c18	SPINT2
1.26295373906933e-62	4.25590804532307	0.079	0.007	4.23569425009072e-58	c18	SPIB
