Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Cytokine-cytokine receptor interaction	42/295	1.1555276437743e-13	3.08525880887739e-11	0	0	4.42835413243327	131.916458837479	TNFRSF13B;IL23R;EBI3;CSF2RB;CXCR6;TNFRSF11A;IL2RG;IL27RA;IL1RL1;IL21R;CCR8;TNFRSF14;CCR6;CCR4;IL6R;TNFRSF4;IL12RB2;ACVR1;IL10;IL32;IL1R1;CCL20;CD70;IL1R2;IFNGR2;IL10RA;TNFRSF9;TNFRSF18;TNFRSF1B;IL17RB;CD4;IL7;IL2RA;IL2RB;LTA;CD27;FAS;TNFRSF25;LTB;IL6ST;IL7R;IL18R1
Th17 cell differentiation	22/107	6.64840673562351e-11	8.87562299205738e-09	0	0	6.77502410800386	158.766313220825	JUN;HSP90AB1;IL1R1;IL23R;IFNGR2;STAT3;RORA;AHR;FOS;IL2RG;FOXP3;IL27RA;NFKBIA;CD4;IL2RA;IL2RB;IL21R;CD247;IL6ST;IL6R;LAT;JAK1
TNF signaling pathway	20/112	6.53060642580911e-09	5.81223971897011e-07	0	0	5.6729060537851	106.915933107626	JUN;CCL20;FOS;TRAF1;CFLAR;TNFRSF1B;MMP9;ICAM1;NFKBIA;SOCS3;TRAF3;IRF1;CREB3L2;BCL3;LTA;FAS;JUNB;IL18R1;MAP3K5;BIRC3
JAK-STAT signaling pathway	23/162	4.54192939465463e-08	2.73019425001525e-06	0	0	4.32502042141936	73.1245425279211	IL10;CDKN1A;IL23R;IFNGR2;IL10RA;STAT3;PDGFA;CSF2RB;STAM;IL2RG;IL27RA;SOCS3;SOCS1;IL7;IL2RA;IL2RB;BCL2;IL21R;IL6ST;IL7R;IL6R;JAK1;IL12RB2
Measles	21/139	5.84481854086186e-08	2.73019425001525e-06	0	0	4.64411404259255	77.3483007978464	HSPA8;JUN;CDKN1B;STAT3;FOS;IL2RG;NFKBIA;TRAF3;IL2RA;IL2RB;BCL2;CD28;RACK1;BAX;EIF3H;FAS;RAB9A;HSPA1B;SLAMF1;JAK1;HSPA1A
NF-kappa B signaling pathway	18/104	6.13526797756235e-08	2.73019425001525e-06	0	0	5.44868554095046	90.4842883459495	IL1R1;GADD45A;LY96;TNFRSF11A;TRAF1;CFLAR;MALT1;ICAM1;GADD45G;NFKB2;RELB;NFKBIA;TRAF3;BCL2;LTA;LTB;LAT;BIRC3
Lipid and atherosclerosis	26/215	1.68579825350664e-07	6.4301161955182e-06	0	0	3.60109599395314	56.1621762145415	HSP90AB1;NCF4;LY96;TANK;ICAM1;RAP1A;CASP1;RAC1;MAP3K5;VAV3;HSPA8;JUN;STAT3;FOS;POU2F2;SOD2;MMP9;NFKBIA;SELP;TRAF3;BCL2;FAS;BAX;CALM3;HSPA1B;HSPA1A
Kaposi sarcoma-associated herpesvirus infection	24/193	2.97704107377706e-07	9.93587458373095e-06	0	0	3.71117775796385	55.768483378221	GABARAPL2;JUN;CDKN1A;STAT3;LEF1;HLA-B;HLA-A;FOS;GABARAP;ICAM1;NFKBIA;GNG10;UBB;TRAF3;UBC;CCR8;FAS;GNG8;BAX;CALM3;RAC1;IL6ST;CCR4;JAK1
Pathways in cancer	45/531	3.78745162382237e-07	1.12361064840064e-05	0	0	2.44998171655435	36.2264151729599	CEBPA;CDKN1A;CDKN1B;HSP90AB1;IL23R;LEF1;PDGFA;LPAR2;MGST2;CSF2RB;IL2RG;RASGRP1;FOXO1;GNG10;BCL2L11;PMAIP1;GNG8;ELOB;PIM2;RAC1;IL6R;JAK1;IL12RB2;SKP1;JUN;GADD45A;IFNGR2;STAT3;FOS;TRAF1;MMP9;NFKB2;GADD45G;NFKBIA;TRAF3;IL7;IL2RA;IL2RB;BCL2;FAS;BAX;CALM3;IL6ST;IL7R;BIRC3
Cell adhesion molecules	20/148	7.62346080250521e-07	2.03546403426889e-05	0	0	4.06973773841962	57.3298469644567	CD274;SELPLG;SDC4;CADM1;CD80;ICAM2;HLA-B;ICAM3;HLA-A;VSIR;ICAM1;SELP;CD2;CD4;SELL;CD28;CTLA4;CD58;ICOS;TIGIT
