p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	2.94197555335375	0.229	0.04	0	MCM2	c13
0	2.91204195154315	0.292	0.05	0	GINS2	c13
0	2.32755407870421	0.387	0.093	0	MCM5	c13
0	2.24231333216606	0.462	0.088	0	TYMS	c13
0	1.84227759168909	0.792	0.347	0	GNLY	c13
0	1.82794795561826	0.602	0.202	0	CCL3	c13
0	1.79570544403809	0.934	0.541	0	GZMA	c13
0	1.53706755151118	0.692	0.182	0	STMN1	c13
0	1.276168053517	0.882	0.443	0	GZMB	c13
0	1.23290034864225	0.634	0.223	0	CXCL13	c13
0	0.9438192630582	0.992	0.929	0	GAPDH	c13
1.9728547370411e-280	1.92041925518482	0.323	0.081	6.61656021708845e-276	PCLAF	c13
3.9101410963294e-280	2.06201901861771	0.354	0.098	1.31138312088696e-275	MCM7	c13
3.51360385323819e-273	1.03021137285191	0.884	0.555	1.17839246029902e-268	HMGN2	c13
2.97230950402415e-263	0.884272197775394	0.932	0.55	9.96853161459619e-259	NKG7	c13
8.06211379684133e-253	2.64360094973545	0.226	0.048	2.70387172518465e-248	MCM4	c13
1.52792282182423e-240	0.976737974027604	0.882	0.618	5.12434755983411e-236	TPI1	c13
1.77184534280056e-239	2.12348267832487	0.301	0.083	5.9424149106845e-235	MCM3	c13
1.53815650219927e-236	2.60905302981161	0.209	0.044	5.15866927707591e-232	CDT1	c13
3.26615820063104e-235	0.598422425878396	0.998	0.995	1.09540413732764e-230	ACTB	c13
1.99819840123214e-224	1.42837950834155	0.607	0.281	6.70155779805235e-220	DUT	c13
3.27521333462366e-223	1.12057359168866	0.693	0.344	1.09844104816608e-218	PRF1	c13
3.71429458458372e-223	1.2932130999878	0.65	0.322	1.24570011777769e-218	RANBP1	c13
4.06185829203159e-223	1.1336763040046	0.631	0.281	1.36226603398156e-218	IFNG	c13
3.60800379442266e-217	2.24655042717496	0.254	0.066	1.21005231257347e-212	HELLS	c13
1.10298987094037e-211	1.18806168086412	0.696	0.372	3.69920742915982e-207	GSTP1	c13
1.88042135187709e-210	0.761343185138533	0.954	0.636	6.30655712992537e-206	CCL5	c13
3.35904739201879e-209	1.51063915742556	0.488	0.201	1.12655731433526e-204	CENPX	c13
1.61285736071294e-203	1.49471544913755	0.32	0.097	5.40920101635907e-199	KIR2DL4	c13
1.86082995456931e-202	0.479891854425634	0.995	0.983	6.24085150163455e-198	PTMA	c13
2.62356234577018e-202	1.87038721156704	0.292	0.087	8.79890339524403e-198	MCM6	c13
1.20459246885293e-197	1.0810445535107	0.62	0.292	4.03996222203895e-193	LINC01871	c13
1.14431271526429e-196	1.23490528066933	0.484	0.196	3.83779598445338e-192	ENTPD1	c13
9.10902043099741e-194	0.622924795698089	0.962	0.891	3.05498327214791e-189	CFL1	c13
3.15845600411996e-188	2.28512681195028	0.212	0.053	1.05928297466175e-183	CLSPN	c13
1.20367063418471e-187	1.49881384136831	0.433	0.174	4.03687057292869e-183	DNMT1	c13
8.41100518759496e-183	0.529413943132411	0.989	0.953	2.8208829198156e-178	PFN1	c13
2.583508047847e-180	1.39975665197287	0.354	0.123	8.66456929086926e-176	KLRC1	c13
3.40325969227347e-175	0.821525726472871	0.865	0.653	1.14138523559468e-170	COTL1	c13
4.41423198110112e-175	0.929917705025037	0.805	0.531	1.48044512182169e-170	ALOX5AP	c13
9.21077182767979e-168	1.09070888110995	0.568	0.277	3.08910865556725e-163	FABP5	c13
1.86117055995662e-165	0.853119520800992	0.748	0.422	6.2419938239825e-161	CD8A	c13
1.16924837132659e-160	1.00118301847117	0.713	0.437	3.92142518775512e-156	SNRPB	c13
7.36086076448564e-160	0.708014078620275	0.936	0.791	2.4686854831932e-155	MIF	c13
1.54407026292689e-158	1.00208273247512	0.6	0.307	5.17850284780419e-154	APOBEC3G	c13
1.19307670630513e-157	0.901472743566878	0.78	0.498	4.00134065760615e-153	FKBP1A	c13
8.35658487100425e-153	0.894005983593139	0.596	0.301	2.80263143403741e-148	LAG3	c13
1.22663344534045e-151	0.506556928766877	0.981	0.938	4.11388324898279e-147	SH3BGRL3	c13
1.29765322584494e-151	1.40542119249615	0.347	0.132	4.35206938883877e-147	PCNA	c13
1.02032643482785e-150	0.972778837455182	0.565	0.286	3.42197079712563e-146	ACP5	c13
2.34833821955879e-146	1.0236402637005	0.608	0.336	7.87585672075626e-142	DEK	c13
9.34832994133808e-144	0.638980663409039	0.964	0.842	3.13524289572597e-139	CRIP1	c13
2.23183432850843e-143	0.898973428767042	0.628	0.336	7.48512597095158e-139	CD8B	c13
3.06509108890874e-143	0.841256691175199	0.772	0.506	1.02797024939821e-138	ATP5MC3	c13
6.99066944723802e-143	1.60285392330963	0.281	0.1	2.34453071921469e-138	CENPK	c13
1.4308222968458e-139	1.21583432991851	0.475	0.232	4.79869181916145e-135	NASP	c13
6.59917527453707e-139	1.25988719634951	0.333	0.129	2.21323140357424e-134	HAVCR2	c13
7.6422244726923e-139	0.835799495396632	0.762	0.5	2.56304924365154e-134	PSME2	c13
1.63818142614019e-138	0.651959219178741	0.873	0.645	5.49413286698897e-134	LY6E	c13
2.76858049625986e-136	0.962284060035866	0.579	0.31	9.28526526835632e-132	CD63	c13
