Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Antigen processing and presentation	23/78	2.00342966576396e-19	4.86833408780643e-17	18.2612311455361	786.223724670759	CD74;KLRC3;KLRC4;IFNG;HLA-DRA;KLRD1;KIR2DL3;KIR2DL4;CTSS;B2M;HLA-DQA1;HLA-DRB5;HLA-C;KIR3DL2;HLA-B;HLA-E;CD8B;CD8A;HLA-DPB1;PSME1;HLA-DRB1;HLA-DPA1;KLRC1	1	KEGG_2021_Human
Graft-versus-host disease	17/42	2.18530990883736e-17	2.6551515392374e-15	29.3453097345133	1125.75031617729	HLA-DRB5;GZMB;HLA-C;KIR3DL2;HLA-B;HLA-E;IFNG;HLA-DRA;HLA-DPB1;KLRD1;HLA-DRB1;PRF1;FASLG;KIR2DL3;HLA-DPA1;KLRC1;HLA-DQA1	2	KEGG_2021_Human
Allograft rejection	13/38	1.74569558601962e-12	1.41401342467589e-10	22.2436842105263	602.222570662647	HLA-DRB5;GZMB;HLA-C;HLA-B;HLA-E;IFNG;HLA-DRA;HLA-DPB1;HLA-DRB1;PRF1;FASLG;HLA-DPA1;HLA-DQA1	3	KEGG_2021_Human
Type I diabetes mellitus	13/43	1.05966790517362e-11	6.43748252392972e-10	18.5316520467836	468.303750956523	HLA-DRB5;GZMB;HLA-C;HLA-B;HLA-E;IFNG;HLA-DRA;HLA-DPB1;HLA-DRB1;PRF1;FASLG;HLA-DPA1;HLA-DQA1	4	KEGG_2021_Human
Natural killer cell mediated cytotoxicity	20/131	3.03078377897026e-11	1.47296091657955e-09	7.79309376191336	188.745728732773	KLRC3;KLRD1;NRAS;HLA-C;HLA-B;HLA-E;PIK3R1;PRF1;FASLG;KLRK1;KLRC1;IFNG;HCST;CD244;KIR2DL3;KLRC4-KLRK1;FCGR3A;GZMB;KIR3DL2;ITGB2	5	KEGG_2021_Human
Phagosome	20/152	4.69788969982338e-10	1.90264532842847e-08	6.54619693595195	140.604045755239	TUBA4A;ATP6V0D1;HLA-DRB5;HLA-C;M6PR;CYBA;HLA-B;HLA-E;HLA-DRB1;CORO1A;HLA-DRA;RAB5C;CTSS;FCGR3A;HLA-DQA1;HLA-DPB1;ITGB2;ITGAM;SEC61A1;HLA-DPA1	6	KEGG_2021_Human
Autoimmune thyroid disease	12/53	2.68245456977338e-09	9.31194943507043e-08	12.482254363025	246.356432356816	HLA-DRA;HLA-DQA1;HLA-DRB5;GZMB;HLA-C;HLA-B;HLA-E;HLA-DPB1;HLA-DRB1;PRF1;FASLG;HLA-DPA1	7	KEGG_2021_Human
Hematopoietic cell lineage	15/99	1.01257974916207e-08	3.07571098807979e-07	7.64907174323474	140.805485370628	CD7;CSF1;HLA-DRB5;CD8B;CD8A;HLA-DRB1;ITGA1;HLA-DRA;CD3G;CD3E;CD3D;HLA-DQA1;HLA-DPB1;ITGAM;HLA-DPA1	8	KEGG_2021_Human
Viral myocarditis	11/60	1.27604884421397e-07	3.44533187937773e-06	9.54914891720881	151.586314274925	HLA-DRA;HLA-DQA1;HLA-DRB5;HLA-C;HLA-B;HLA-E;HLA-DPB1;HLA-DRB1;ITGB2;PRF1;HLA-DPA1	9	KEGG_2021_Human
Ribosome	17/158	1.93548054304997e-07	4.70321771961142e-06	5.17212703194627	79.9493949722092	RPS7;FAU;RPL26;RPL28;RPL36AL;RPS3;RPS27;MRPL10;RPS26;RPS29;RPS24;RPS19;MRPL22;MRPS12;RPS15A;RPL23A;RPL7A	10	KEGG_2021_Human
Leishmaniasis	12/77	2.22012482685542e-07	4.90445757205334e-06	7.8637266453459	120.476477504891	TGFB1;IFNG;HLA-DRA;FCGR3A;HLA-DQA1;HLA-DRB5;CYBA;HLA-DPB1;HLA-DRB1;ITGB2;ITGAM;HLA-DPA1	11	KEGG_2021_Human
Rheumatoid arthritis	13/93	2.58890412186886e-07	5.24253084678445e-06	6.93155153508772	105.12987853442	TGFB1;IFNG;HLA-DRA;ATP6V0D1;CSF1;HLA-DQA1;HLA-DRB5;HLA-DPB1;HLA-DRB1;ITGB2;CCL5;HLA-DPA1;CCL3	12	KEGG_2021_Human
Cell adhesion molecules	16/148	4.14698395432207e-07	7.7516700069251e-06	5.19071509799987	76.2812662949615	HLA-DRB5;HLA-C;HLA-B;HLA-E;CD8B;CD8A;HLA-DRB1;CD99;PTPRC;HLA-DRA;HLA-DQA1;HLA-DPB1;ITGB2;ITGAM;HLA-DPA1;ITGB7	13	KEGG_2021_Human
Tuberculosis	17/180	1.23853892953425e-06	2.14974971340588e-05	4.46897225690863	60.7850754280055	TGFB1;CD74;ATP6V0D1;HLA-DRB5;HLA-DRB1;CORO1A;IFNG;HLA-DRA;RAB5C;CTSS;FCGR3A;HLA-DQA1;HLA-DPB1;ITGB2;LSP1;ITGAM;HLA-DPA1	14	KEGG_2021_Human
Intestinal immune network for IgA production	9/48	1.47859533721667e-06	2.39532444629101e-05	9.77859531772575	131.271951167561	TGFB1;HLA-DRB5;HLA-DRA;HLA-DPB1;HLA-DRB1;CXCR4;HLA-DPA1;ITGB7;HLA-DQA1	15	KEGG_2021_Human
Epstein-Barr virus infection	17/202	5.98660173936019e-06	9.09215139165329e-05	3.93305429323128	47.2988583420638	RUNX3;PSMC1;B2M;HLA-DRB5;HLA-C;HLA-B;HLA-E;PIK3R1;HLA-DRB1;CD3G;CD3E;CD3D;HLA-DQA1;HLA-DPB1;HLA-DPA1;HLA-DRA;TNFAIP3	16	KEGG_2021_Human
Th1 and Th2 cell differentiation	11/92	1.02012587810192e-05	0.000145817993163981	5.76715725915144	66.2819351232015	RUNX3;IFNG;HLA-DRA;CD3G;CD3E;CD3D;HLA-DQA1;HLA-DRB5;HLA-DPB1;HLA-DRB1;HLA-DPA1	17	KEGG_2021_Human
Human T-cell leukemia virus 1 infection	17/219	1.73570304566183e-05	0.000234319911164347	3.59888942434066	39.4492729225988	B2M;HLA-DRB5;HLA-C;HLA-B;HLA-E;PIK3R1;HLA-DRB1;CD3G;CD3E;CD3D;HLA-DQA1;HLA-DPB1;HLA-DPA1;TGFB1;NRAS;HLA-DRA;ITGB2	18	KEGG_2021_Human
Th17 cell differentiation	11/107	4.29212442061939e-05	0.00054894012326869	4.86228620815138	48.8958485846615	TGFB1;HLA-DRB5;HLA-DRB1;IFNG;HLA-DRA;CD3G;CD3E;CD3D;HLA-DQA1;HLA-DPB1;HLA-DPA1	19	KEGG_2021_Human
Asthma	6/31	7.20511736372718e-05	0.000875421759692852	10.111101511879	96.441040566412	HLA-DRB5;HLA-DRA;HLA-DPB1;HLA-DRB1;HLA-DPA1;HLA-DQA1	20	KEGG_2021_Human
Inflammatory bowel disease	8/65	0.000134734635514906	0.0015590722109582	5.92883510294174	52.8389842250998	TGFB1;IFNG;HLA-DRA;HLA-DQA1;HLA-DRB5;HLA-DPB1;HLA-DRB1;HLA-DPA1	21	KEGG_2021_Human
Chagas disease	10/102	0.000141847370362801	0.00156676868173457	4.60334375296012	40.7891192900818	TGFB1;PIK3R1;FASLG;IFNG;CD3G;CD3E;CD3D;PPP2R2B;CCL5;CCL3	22	KEGG_2021_Human
T cell receptor signaling pathway	10/104	0.000166737649863704	0.00176161951812523	4.50493672646363	39.1888452512159	NRAS;MAP3K8;PIK3R1;CD8B;CD8A;PTPRC;IFNG;CD3G;CD3E;CD3D	23	KEGG_2021_Human
Staphylococcus aureus infection	9/95	0.000392048910688756	0.00391381733513951	4.42378665318504	34.7007308527142	HLA-DRA;FCGR3A;HLA-DQA1;HLA-DRB5;HLA-DPB1;HLA-DRB1;ITGB2;ITGAM;HLA-DPA1	24	KEGG_2021_Human
Coronavirus disease	15/232	0.000402656104438221	0.00391381733513951	2.94068089080168	22.9885602502066	RPL26;RPL28;RPL36AL;RPS27;RPS26;RPS29;PIK3R1;RPS24;RPS19;RPS15A;RPS7;FAU;RPS3;RPL23A;RPL7A	25	KEGG_2021_Human
Human immunodeficiency virus 1 infection	14/212	0.000504225961715458	0.00471257341141755	3.0043512043512	22.8104946192393	GNG2;B2M;APOBEC3G;HLA-C;HLA-B;HLA-E;PIK3R1;CD3G;CD3E;CD3D;CXCR4;NRAS;CFL1;FASLG	26	KEGG_2021_Human
Viral protein interaction with cytokine and cytokine receptor	9/100	0.000572726762559752	0.00515454086303776	4.17964644051601	31.2014862047122	CSF1;CCL4L2;XCL1;XCL2;CX3CR1;CXCR4;CCL5;CCL4;CCL3	27	KEGG_2021_Human
