Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
E2F Targets	192/200	3.97448267254055e-54	1.98724133627028e-52	0	0	28.6362428001772	3521.10383607364	DCLRE1B;JPT1;NUP107;POP7;MRE11;TFRC;DSCC1;CSE1L;CCP110;BUB1B;SMC6;MKI67;SMC3;SMC4;IPO7;CDC20;PNN;PTTG1;WDR90;CHEK2;CHEK1;STMN1;NBN;KPNA2;TMPO;TIPIN;LIG1;CDC25A;CDC25B;ILF3;DDX39A;MELK;MSH2;MTHFD2;CCNE1;ZW10;TIMELESS;SRSF2;TP53;ASF1A;ASF1B;SNRPB;SLBP;NUP205;DNMT1;RNASEH2A;CDCA3;PRKDC;SHMT1;AK2;CDCA8;NOLC1;HMMR;PDS5B;GSPT1;RAD51AP1;CCNB2;PRDX4;ORC6;RACGAP1;UBR7;RAD21;ORC2;LYAR;PLK4;BARD1;XRCC6;CBX5;PLK1;HMGA1;NUP153;PA2G4;PAICS;EIF2S1;POLA2;STAG1;KIF18B;DIAPH3;NASP;UBE2S;CDK4;UBE2T;KIF4A;ANP32E;HNRNPD;CDK1;CNOT9;MXD3;EZH2;TOP2A;MCM7;SUV39H1;HMGB2;HMGB3;PSIP1;BRCA1;CTCF;BRCA2;CKS1B;LMNB1;SYNCRIP;XPO1;ING3;MYBL2;TK1;POLE;LBR;DLGAP5;TCF19;HELLS;RFC3;RFC1;EED;RFC2;TUBB;CTPS1;KIF22;TUBG1;SMC1A;DCK;NME1;CIT;MMS22L;RAD51C;ESPL1;CKS2;DEPDC1;MCM3;MCM4;BIRC5;LUC7L3;KIF2C;MCM5;NAA38;MCM6;DCTPP1;MCM2;PRIM2;PRPS1;PCNA;SRSF1;PPM1D;AURKB;UNG;AURKA;TBRG4;PSMC3IP;POLD3;POLD1;TRA2B;EXOSC8;PPP1R8;POLD2;USP1;PMS2;RBBP7;E2F8;GINS1;NOP56;RANBP1;DUT;CDKN2C;RRM2;SPAG5;CDKN2A;GINS3;GINS4;ATAD2;RPA1;DONSON;RPA2;NAP1L1;DEK;SSRP1;MLH1;POLE4;CENPE;NUDT21;RAD50;WEE1;PHF5A;RPA3;TACC3;CENPM;NCAPD2;RAD1;TRIP13;SPC24;RAN;MAD2L1;CDKN3;SPC25
Oxidative Phosphorylation	178/200	1.01850198218303e-37	2.54625495545758e-36	0	0	9.6264100862641	819.951769415115	MTRR;ACAA2;ECI1;COX6A1;PHB2;TOMM22;MTRF1;MPC1;PMPCA;ATP6V1E1;ACAA1;PDHX;CPT1A;PHYH;ATP6V0E1;ECH1;SDHC;SDHD;SDHA;SDHB;COX6B1;AFG3L2;COX7A2L;FDX1;UQCRC1;VDAC3;VDAC2;SUCLG1;VDAC1;UQCRC2;ABCB7;COX15;MGST3;COX17;ATP5MC2;ATP5MC3;HTRA2;COX7A2;MRPL15;UQCRH;MRPL11;ATP5MC1;ACAT1;TIMM50;PRDX3;LDHB;LDHA;RHOT2;CYB5R3;RHOT1;GRPEL1;ATP6V1H;COX11;CYC1;NDUFV2;NDUFV1;ATP6V1D;ATP5MG;ATP5MF;COX10;DECR1;ATP6V1F;ATP5ME;HSPA9;PDHA1;IDH2;GOT2;ACADSB;CS;GLUD1;UQCRQ;OGDH;ACO2;GPI;COX7B;MRPS15;SLC25A3;ACADVL;ALAS1;MRPS11;MRPS12;HCCS;ETFA;ETFB;TCIRG1;MRPL34;COX7C;MRPL35;CASP7;AIFM1;OPA1;NNT;IDH3B;TIMM17A;UQCRFS1;ACADM;DLAT;IDH3A;COX8A;TOMM70;BCKDHA;ATP6V0B;MRPS22;NDUFC2;NDUFC1;HADHB;SUPV3L1;HADHA;BDH2;NDUFS8;NDUFS7;NDUFS6;NDUFS4;NDUFS3;NDUFS2;NDUFS1;SLC25A5;SLC25A12;DLD;SLC25A11;SLC25A4;FH;NDUFB8;ECHS1;OAT;NDUFB7;NDUFB6;NDUFB5;TIMM9;NDUFB4;NDUFB3;TIMM13;NDUFB2;ETFDH;DLST;NDUFB1;UQCR11;UQCR10;TIMM10;MRPS30;PDHB;COX5B;COX5A;HSD17B10;ATP5F1A;ATP5F1B;MFN2;POLR2F;SLC25A20;NDUFA9;TIMM8B;ATP5PF;NDUFA8;CYB5A;NQO2;NDUFA7;ATP5PD;NDUFA6;MDH1;NDUFA5;ATP5PB;MTX2;MDH2;NDUFA4;IDH3G;NDUFA3;NDUFA2;NDUFA1;IMMT;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;LRPPRC;SUCLA2;NDUFAB1;ATP5PO;BAX
Myc Targets V1	176/200	8.32702182589319e-36	1.3878369709822e-34	0	0	8.72150965649418	704.46736154629	HDDC2;HNRNPU;HNRNPR;PWP1;PHB2;UBE2L3;RRP9;PSMD8;CDC20;FBL;PSMD7;SNRPD2;TRIM28;SNRPD1;RUVBL2;PSMD3;PSMD1;SNRPD3;TXNL4A;KPNA2;DDX18;SMARCC1;STARD7;EIF1AX;MRPS18B;ILF2;TUFM;CLNS1A;VDAC3;SRSF2;SNRPG;NHP2;SRSF3;VDAC1;ERH;HPRT1;PPIA;SRSF7;SNRPA;KPNB1;SET;PSMD14;GLO1;CSTF2;CUL1;NOLC1;PHB;GSPT1;PRDX3;LDHA;PRDX4;PCBP1;G3BP1;ORC2;PGK1;CYC1;XRCC6;NOP16;CBX3;GOT2;PA2G4;MRPL23;EIF2S2;EIF2S1;SRPK1;LSM2;AIMP2;LSM7;COPS5;CDK4;CDK2;HNRNPD;UBA2;RNPS1;HNRNPC;EIF4G2;YWHAE;SLC25A3;HSP90AB1;MCM7;RPLP0;SYNCRIP;XPO1;YWHAQ;C1QBP;DHX15;AP3S1;MRPL9;ACP1;CCT3;TOMM70;CCT2;RFC4;NCBP1;VBP1;NCBP2;CAD;CTPS1;RAD23B;NME1;GNL3;CCNA2;PSMA6;PSMA4;TFDP1;PSMA1;PSMA2;CANX;TCP1;MCM4;SNRPA1;MCM5;MCM6;MCM2;PRPS2;HDAC2;PCNA;SF3B3;ODC1;SRSF1;U2AF1;TYMS;COX5A;PSMA7;HSPD1;SRM;PPM1G;EXOSC7;CDC45;PSMB2;PSMB3;TRA2B;FAM120A;POLD2;USP1;EIF4H;SNRPB2;BUB3;CCT7;HNRNPA1;EIF4E;CCT5;CCT4;NOP56;RANBP1;NPM1;SF3A1;DUT;HNRNPA3;RRM1;SSB;PTGES3;CNBP;NAP1L1;DEK;HSPE1;RSL1D1;PSMC6;XPOT;PSMC4;APEX1;IMPDH2;HNRNPA2B1;SERBP1;NDUFAB1;EIF3J;POLE3;PRPF31;HDGF;SSBP1;TARDBP;ABCE1;EIF3D;RAN;MAD2L1;EIF3B
G2-M Checkpoint	173/200	4.35594767391187e-33	5.44493459238983e-32	0	0	7.61565732860085	567.471307176897	JPT1;CCNT1;CCNF;HNRNPU;ARID4A;MKI67;SMC4;SMC2;CDC20;MT2A;RPS6KA5;PTTG1;SNRPD1;KIF5B;CHEK1;STMN1;CDC27;NUSAP1;NEK2;FBXO5;KMT5A;KPNA2;HMGN2;TMPO;SMARCC1;SLC38A1;LIG3;PRPF4B;KNL1;CDC25A;CDC25B;TRAIP;SAP30;ILF3;DDX39A;EWSR1;DKC1;NCL;SRSF2;NUP98;KIF20B;KPNB1;CUL5;YTHDC1;TROAP;CUL3;CUL1;NOLC1;HMMR;PDS5B;HIF1A;GSPT1;ORC5;CCNB2;ORC6;RACGAP1;RAD21;G3BP1;PLK4;BARD1;HSPA8;STIL;DR1;UBE2C;ODF2;PLK1;CBX1;HMGA1;CDC7;FANCC;CDC6;NDC80;TPX2;SQLE;STAG1;UCK2;POLA2;NASP;UBE2S;CDK4;KIF4A;HNRNPD;CDK1;MNAT1;EZH2;TOP2A;NUMA1;SUV39H1;AMD1;HMGB3;KIF11;CTCF;BRCA2;KIF15;LMNB1;CKS1B;SYNCRIP;CHAF1A;XPO1;EXO1;CHMP1A;PBK;MYBL2;LBR;POLE;TNPO2;UPF1;SS18;PRMT5;RBM14;ATRX;KIF23;KIF22;SMC1A;RAD23B;CCNA2;SLC7A5;SFPQ;DBF4;TFDP1;RBL1;ESPL1;INCENP;NUP50;MTF2;CKS2;MCM3;BIRC5;KIF2C;MCM5;MCM6;TOP1;PAFAH1B1;MCM2;PRIM2;DTYMK;ODC1;SRSF1;TTK;CENPA;SLC7A1;AURKB;AURKA;HIRA;PURA;WRN;CDC45;TRA2B;KATNA1;NSD2;E2F1;RAD54L;E2F2;E2F3;BUB3;E2F4;SRSF10;BUB1;SLC12A2;GINS2;CASP8AP2;POLQ;CDKN2C;RPA2;MAPK14;PML;CUL4A;CENPE;CENPF;PRC1;TACC3;MAD2L1;CDKN3
DNA Repair	123/150	9.6546721051051e-20	9.6546721051051e-19	0	0	5.38483993502131	235.771231265707	ARL6IP1;MPG;PNP;CLP1;MPC2;LIG1;GTF2F1;RBX1;BOLA2;CMPK2;HPRT1;SRSF6;TP53;VPS28;POM121;TSG101;CSTF3;COX17;SUPT4H1;AK3;XPC;AAAS;DGUOK;ZNF707;SAC3D1;POLR3GL;ALYREF;UPF3B;SUPT5H;SMAD5;ZWINT;POLA1;POLA2;ITPA;ADA;FEN1;ELL;CETN2;SNAPC5;POLB;SEC61A1;ZNRD1;MRPL40;GUK1;SNAPC4;REV3L;ELOA;DGCR8;TMED2;NELFB;NELFCD;POLH;NELFE;RFC5;RFC3;RFC4;NCBP2;RFC2;EDF1;DDB2;NME1;APRT;NT5C3A;DDB1;DAD1;NFX1;POLR1C;POLR1D;HCLS1;UMPS;GTF2A2;RALA;PCNA;CANT1;GTF3C5;RNMT;PRIM1;USP11;DCTN4;TAF9;TYMS;POLD3;NT5C;POLR2A;POLR2C;POLD1;POLR2D;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;RAE1;POLR2K;SF3A3;BCAP31;DUT;BRF2;TAF12;TAF10;ADRM1;RPA2;GTF2H1;SSRP1;GTF2H3;TARBP2;GTF2H5;POLE4;NUDT9;RAD52;NUDT21;RAD51;ERCC3;POLR3C;ERCC4;ERCC1;RPA3;IMPDH2;ERCC2;ERCC8;ERCC5;TAF6
mTORC1 Signaling	142/200	7.00494940907673e-13	5.83745784089728e-12	0	0	2.89165166260227	80.9286239996837	ERO1A;TES;TFRC;PITPNB;CCNF;UBE2D3;ARPC5L;SLA;TMEM97;ENO1;RRP9;PNP;TBK1;FDXR;PSPH;MAP2K3;STARD4;G6PD;ACSL3;TUBA4A;CDC25A;SYTL2;ACLY;DDX39A;MTHFD2;PPA1;PSME3;HMBS;TRIB3;HPRT1;PPIA;IDI1;NUP205;PSMD12;PSMD14;SHMT2;PSMD13;RPN1;GMPS;PIK3R3;SLC1A4;SLC1A5;CORO1A;ADIPOR2;ACACA;HSP90B1;ATP5MC1;SLC9A3R1;STIP1;LDHA;EBP;RDH11;PRDX1;PGK1;SSR1;ATP6V1D;HSPA9;SDF2L1;HSPA5;GOT1;PNO1;HSPA4;SRD5A1;PLK1;M6PR;ASNS;DHCR24;EIF2S2;DHFR;MLLT11;CCT6A;QDPR;SQLE;SLC6A6;COPS5;BHLHE40;NMT1;PSMG1;CALR;DHCR7;NFKBIB;GPI;GSK3B;SLC2A1;ATP2A2;VLDLR;PHGDH;SLC37A4;CTSC;PGM1;ACTR3;ACTR2;TPI1;HMGCS1;ELOVL5;SORD;ELOVL6;CACYBP;TUBG1;UCHL5;SLC7A5;PSMA3;PSMA4;CANX;MCM4;EEF1E1;GAPDH;MCM2;TOMM40;NUFIP1;USO1;HMGCR;ADD3;UNG;AURKA;HSPD1;GGA2;PSMB5;YKT6;LDLR;SEC11A;BUB1;CYB5B;RRM2;NFYC;TXNRD1;GSR;CYP51A1;RPA1;IMMT;PDAP1;GTF2H1;HSPE1;UFM1;PFKL;PSMC6;PSMC4;PSAT1;PSMC2;CCNG1;TCEA1;POLR3G
Mitotic Spindle	139/199	8.68401372939194e-12	6.20286694956567e-11	0	0	2.73479425907573	69.6539443426315	SMC3;SMC4;PREX1;PPP4R2;KIF5B;ARHGDIA;CDC27;NUSAP1;ARFIP2;CEP250;NEK2;KNTC1;FBXO5;KIFAP3;CDK5RAP2;RALBP1;CEP131;TSC1;ACTN4;TUBA4A;CD2AP;TIAM1;CLIP1;BIN1;GEMIN4;KIF20B;LLGL1;PIF1;EPB41;TUBGCP2;KLC1;ABR;CCNB2;RHOT2;RACGAP1;KIF3B;CEP72;CEP192;KIF3C;MARK4;ECT2;SPTBN1;SAC3D1;PLK1;TBCD;ARHGAP27;NDC80;NET1;ANLN;TPX2;DLG1;KIF4A;SASS6;NF1;TUBGCP5;CDK1;TUBGCP3;CNTROB;TOP2A;CEP57;YWHAE;NUMA1;KIF11;BRCA2;PKD2;KIF15;ARHGAP4;LMNB1;AKAP13;PCM1;CAPZB;CNTRL;TLK1;SPTAN1;DLGAP5;NCK1;SUN2;ARHGEF12;RFC1;KIF23;RHOF;KIF22;SMC1A;DYNLL2;CKAP5;LATS1;ARHGAP10;ALS2;ESPL1;INCENP;RASA1;RASA2;ARHGEF3;MYH9;BIRC5;ATG4B;KIF2C;MAPRE1;ARHGEF7;RAPGEF5;SOS1;DOCK2;RAPGEF6;ARF6;PAFAH1B1;RABGAP1;STAU1;ROCK1;TUBD1;NEDD9;KATNB1;TTK;HDAC6;AURKA;CDC42;KATNA1;FLNA;RICTOR;PCNT;WASF2;BUB1;CLASP1;ARFGEF1;DYNC1H1;PCGF5;RANBP9;MYO9B;LRPPRC;CENPE;MYO1E;CENPF;NIN;APC;PRC1;CENPJ;ALMS1;TAOK2;ABI1;RAB3GAP1
Interferon Alpha Response	77/97	1.70543069135724e-11	1.06589418209828e-10	0	0	4.53089795471946	112.341885521116	RTP4;OGFR;IFITM1;SAMD9L;IFITM2;CSF1;UBE2L6;ADAR;IFI35;TMEM140;IFIT3;IFI44L;OASL;IFIH1;NUB1;CASP8;TRIM5;LAMP3;DHX58;EPSTI1;CASP1;TRIM25;TRIM26;TRIM21;B2M;CMTR1;HERC6;IL4R;RSAD2;SP110;TAP1;HLA-C;TRAFD1;PARP9;PLSCR1;PSMA3;ELF1;IFI27;OAS1;IRF1;IRF2;PSME1;IRF7;CMPK2;TRIM14;PSME2;NCOA7;LAP3;CD47;IRF9;LY6E;RNF31;CNP;SAMD9;DDX60;USP18;HELZ2;SLC25A28;MVB12A;GBP2;GBP4;PNPT1;STAT2;MX1;IFI44;EIF2AK2;ISG15;TDRD7;NMI;PARP14;PARP12;PSMB8;PSMB9;BST2;ISG20;MOV10;IL7
Myc Targets V2	51/58	2.98190884037575e-11	1.65661602243097e-10	0	0	8.56025738902825	207.465305594935	PPAN;TMEM97;RABEPK;WDR43;RRP9;MAP3K6;DDX18;PUS1;PRMT3;SORD;IMP4;TFB2M;PPRC1;GNL3;SUPV3L1;GRWD1;MRTO4;MCM4;MCM5;DCTPP1;NIP7;NOP2;NOLC1;NOC4L;PHB;SRM;TBRG4;HSPD1;UNG;EXOSC5;TCOF1;PES1;UTP20;SLC19A1;PLK4;NOP56;NPM1;NOP16;CBX3;PLK1;PA2G4;HSPE1;BYSL;RCL1;AIMP2;MYBBP1A;LAS1L;CDK4;NDUFAF4;MPHOSPH10;FARSA
Interferon Gamma Response	128/200	2.34107345079957e-07	1.17053672539979e-06	0	0	2.09375763797233	31.9664156075431	SAMD9L;IFITM2;SPPL2A;UBE2L6;IFI35;IFIT1;IFIT3;IFI44L;MT2A;PNP;DHX58;TNFSF10;EPSTI1;PIM1;TRIM25;TRIM26;TRIM21;B2M;CMTR1;HERC6;ZBP1;IFNAR2;IL15RA;IL4R;RSAD2;SP110;HLA-B;TAP1;TRAFD1;HLA-A;HLA-G;NUP93;IFI27;MTHFD2;PSME1;TRIM14;PSME2;CMPK2;LAP3;RBCK1;LY6E;DDX60;HIF1A;HELZ2;RNF213;KLRK1;ST8SIA4;ISOC1;ST3GAL5;RIPK1;VCAM1;PNPT1;EIF2AK2;IFI44;ISG15;TDRD7;NMI;PARP14;TOR1B;PARP12;BST2;ISG20;IL7;XAF1;GPR18;MYD88;OGFR;RTP4;EIF4E3;ADAR;OASL;IFIH1;CASP7;CASP8;CASP3;CASP4;CASP1;CD38;ITGB7;JAK2;DDX58;BPGM;VAMP8;PLSCR1;PSMA3;PSMA2;OAS2;IRF4;IRF1;OAS3;IRF2;IRF7;XCL1;LCP2;RAPGEF6;VAMP5;IRF9;RNF31;C1R;MVP;NLRC5;NOD1;SRI;USP18;PSMB10;APOL6;SLC25A28;PSMB2;CCL5;STAT4;GBP4;STAT1;STAT2;MX2;GZMA;STAT3;MX1;LYSMD2;PSMB8;PML;PSMB9;ZNFX1;IL2RB;FAS;PTPN6;CD69;PTPN2;PFKP
