Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Ribosome	83/158	9.86248603948882e-37	2.9094333816492e-34	0	0	8.78008704787633	727.929888164145	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL10L;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPS4Y2;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RSL24D1;RPS24;RPS23
Coronavirus disease	93/232	3.29690678053262e-29	4.86293750128561e-27	0	0	5.31287642884336	348.42897167557	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10L;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;IL12A;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;SYK;RPS7;PRKCB;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;FOS;PIK3CA;TRAF6;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPS4Y2;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;PLCG2;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;JUN;RPL41;RPL35A;RPL23A;MAPK10;RPS25;RPS28;IL6;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RSL24D1;RPS24;RPS23
B cell receptor signaling pathway	26/81	6.76669261285015e-07	6.18731505314866e-05	0	0	3.66083486311757	52.0061247171041	DAPP1;BCL10;RASGRP3;CD79B;PPP3CA;CD79A;PPP3CC;AKT2;CD19;INPP5D;BLNK;PLCG2;LYN;CR2;JUN;CD72;SYK;PRKCB;NFATC1;FOS;VAV2;PIK3CA;BTK;FCGR2B;CARD11;CD22
Herpes simplex virus 1 infection	94/498	8.38957973308292e-07	6.18731505314866e-05	0	0	1.82053671430491	25.4713207324338	ZNF254;ZNF331;ZNF891;ZNF571;ZNF250;ZNF492;ZFP82;CASP9;ZFP30;ZNF529;ZNF606;ZNF727;AKT2;ZNF84;ZNF766;IL12A;HLA-DOA;ZNF566;HLA-DOB;ZNF763;HLA-DPA1;SYK;IFNGR2;ZNF10;PIK3CA;TRAF6;ZNF439;TRAF5;ZNF317;TLR9;LTA;SRSF3;SRSF5;ZNF677;SRSF7;SRSF8;ZNF432;HLA-DQB1;ZNF596;ZNF431;ZNF552;BIRC3;ZNF595;ZNF551;ZNF154;ZNF550;ZNF670;ZNF791;SP100;ZNF273;ZNF23;NXF1;HLA-DMA;HLA-DMB;ZNF506;ZNF627;ZNF549;ZNF548;ZNF669;ZNF107;ZNF426;TNFRSF14;ZNF667;ZNF665;ZNF268;HLA-DQA1;ZNF300;ZNF343;ZNF860;ZNF100;ZNF540;CD74;HLA-DRB5;ZNF461;ZNF141;ZNF460;ZNF140;EIF2AK3;PILRB;POU2F2;IL6;ZNF418;ZNF737;ZNF814;ZNF736;HLA-DPB1;BCL2;HLA-DRA;CYCS;ZNF136;HLA-DRB1;ZNF135;ZNF256;ZNF773
Intestinal immune network for IgA production	17/48	1.31485599683514e-05	0.00077576503813273	0	0	4.2357927697928	47.6069149543667	CD40;HLA-DRB5;TNFRSF13B;CXCR4;TNFRSF13C;HLA-DMA;IL6;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DOB;HLA-DQA1;ICOSLG;HLA-DRB1;HLA-DPA1;HLA-DQB1
Leishmaniasis	22/77	3.76163541501671e-05	0.00184947074571655	0	0	3.09219982471516	31.5035533744275	HLA-DRB5;JUN;MARCKSL1;CR1;NCF1;PRKCB;IFNGR2;NCF4;FOS;EEF1A1;HLA-DMA;HLA-DMB;TRAF6;HLA-DPB1;HLA-DRA;IL12A;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
Inflammatory bowel disease	19/65	8.89776513094459e-05	0.00305930180384809	0	0	3.19046712967368	29.7578867753978	HLA-DRB5;JUN;IL4R;SMAD3;IFNGR2;NFATC1;HLA-DMA;IL6;HLA-DMB;HLA-DPB1;HLA-DRA;IL12A;STAT6;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
Asthma	12/31	9.10170904730588e-05	0.00305930180384809	0	0	4.8710388536787	45.3224020602926	CD40;HLA-DMA;HLA-DRB5;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
Viral myocarditis	18/60	9.33346313038402e-05	0.00305930180384809	0	0	3.30971128608924	30.7118679360112	CD40;HLA-DRB5;CASP9;HLA-DMA;HLA-DMB;SGCA;HLA-DPB1;CYCS;HLA-DRA;DMD;HLA-DOA;HLA-DOB;CD55;HLA-DQA1;EIF4G2;HLA-DRB1;HLA-DPA1;HLA-DQB1
Allograft rejection	13/38	0.000202964369449359	0.00568923270066742	0	0	4.01087734613706	34.1024048763538	CD40;HLA-DRB5;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;IL12A;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
Type I diabetes mellitus	14/43	0.00021214088036387	0.00568923270066742	0	0	3.72440897455203	31.5020193561715	HLA-DRB5;HSPD1;HLA-DMA;HLA-DMB;HLA-DPB1;LTA;HLA-DRA;IL12A;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
Th1 and Th2 cell differentiation	23/92	0.000237132973388432	0.00582951892913229	0	0	2.57591699546982	21.5008945352899	NOTCH2;HLA-DRB5;JUN;IL4R;IFNGR2;NFATC1;FOS;DLL1;MAPK10;PPP3CA;HLA-DMA;PPP3CC;HLA-DMB;HLA-DPB1;HLA-DRA;IL12A;STAT6;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
Hematopoietic cell lineage	24/99	0.000289393035323568	0.00627243733268209	0	0	2.47312280701754	20.1503240528485	HLA-DRB5;CR2;IL4R;CR1;CD1C;FCER2;IL6;HLA-DMA;HLA-DMB;IL7;CD19;HLA-DPB1;HLA-DRA;CD37;HLA-DOA;CD24;HLA-DOB;MS4A1;HLA-DQA1;CD22;HLA-DRB1;CD55;HLA-DPA1;HLA-DQB1
RNA transport	38/186	0.000303370962401819	0.00627243733268209	0	0	1.98833520192743	16.1066170768291	EIF4A2;NXT1;RBM8A;EIF4A3;DDX20;FXR1;PNN;NXF1;SAP18;NUP88;EIF4B;UPF2;RANBP2;EIF1AY;FUS;PABPC4;UPF3B;SENP2;SRRM1;EIF1;EEF1A1;EIF2S3;EIF5;GEMIN4;RPP21;STRAP;EIF3H;RNPS1;NUP54;EIF3E;NUP98;PABPC1;EIF3F;EIF1B;EIF3D;EIF4G2;NUP58;RAN
Tuberculosis	37/180	0.00031893749149231	0.00627243733268209	0	0	2.00339008146684	16.1283227547739	CAMK2B;CIITA;CAMK2D;BCL10;HSPD1;CASP9;PPP3CA;HLA-DMA;PPP3CC;HLA-DMB;AKT2;IL12A;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DPA1;HSPA9;CD74;HLA-DRB5;CR1;SYK;NFYA;IFNGR2;MAPK10;IL6;TRAF6;RFX5;BCL2;TLR9;HLA-DPB1;CYCS;HLA-DRA;ATP6V0D1;FCGR2B;ATP6V0C;HLA-DRB1;HLA-DQB1
Th17 cell differentiation	25/107	0.000400399651234197	0.0073823685696305	0	0	2.35635013217179	18.4338387315417	HSP90AB1;PPP3CA;HLA-DMA;PPP3CC;HLA-DMB;STAT6;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DPA1;HLA-DRB5;JUN;IL4R;SMAD3;IFNGR2;NFATC1;FOS;MAPK10;IL6;IRF4;RARA;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DQB1
Human T-cell leukemia virus 1 infection	41/219	0.00114994165451366	0.0199548698871488	0	0	1.78305123456484	12.0677693401294	RB1;CD40;CDKN1A;CRTC2;SLC2A1;TNFRSF13C;RELB;PPP3CA;HLA-DMA;CCND3;ZFP36;PPP3CC;HLA-DMB;KAT5;AKT2;MYC;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DPA1;HLA-DRB5;JUN;MAP3K1;SMAD3;NFATC1;FOS;NFKB2;MAPK10;KAT2A;IL6;PIK3CA;HLA-DPB1;LTA;HLA-DRA;ATM;TCF3;SLC25A4;HLA-DRB1;RAN;HLA-DQB1;SLC25A6
Graft-versus-host disease	12/42	0.00213575444638272	0.0350026423157168	0	0	3.08307155322862	18.9576075802249	HLA-DMA;HLA-DRB5;IL6;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
Antigen processing and presentation	18/78	0.00284697520231271	0.0442030360359079	0	0	2.31443569553806	13.5660606190573	CD74;CIITA;HLA-DRB5;HSP90AB1;NFYA;HSPA4;HSPA2;HLA-DMA;HLA-DMB;RFX5;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
Spliceosome	29/150	0.00349902580868296	0.0516106306780736	0	0	1.8515121242394	10.4708022476629	DDX5;RBM25;RBM8A;EIF4A3;SNU13;PQBP1;U2AF2;TRA2B;TRA2A;HNRNPA1;SF3B1;SRSF10;BCAS2;ISY1-RAB43;SF3A1;FUS;HSPA2;WBP11;CHERP;PRPF4;LSM7;HNRNPK;SYF2;SRSF3;SNRPA1;SRSF5;SRSF7;RBMX;SRSF8
Toxoplasmosis	23/112	0.00405413620715034	0.0569509610052071	0	0	1.99479333428567	10.9873568600448	HLA-DRB5;CD40;CIITA;IFNGR2;HSPA2;CASP9;MAPK10;HLA-DMA;HLA-DMB;AKT2;TRAF6;BCL2;HLA-DPB1;CYCS;HLA-DRA;IL12A;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1;BIRC3;HLA-DQB1
Epstein-Barr virus infection	36/202	0.00513545514506516	0.0688617848997374	0	0	1.6762287244215	8.83638522361697	RB1;CD40;CDKN1A;RELB;CASP9;HLA-DMA;CCND3;HLA-DMB;AKT2;MYC;CD19;PLCG2;BLNK;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DPA1;LYN;HLA-DRB5;JUN;CR2;SYK;NFKB2;MAPK10;FCER2;IL6;PIK3CA;TRAF6;TRAF5;BTK;HLA-DPB1;BCL2;CYCS;HLA-DRA;HLA-DRB1;HLA-DQB1
Mitophagy	15/68	0.00946801179133447	0.121437542541029	0	0	2.18143376443532	10.1651243330574	PRKN;USP8;JUN;ATG9B;TFEB;EIF2AK3;RRAS2;MAPK10;UBB;MFN1;TOMM7;RPS27A;SQSTM1;UBA52;TBC1D15
NF-kappa B signaling pathway	20/104	0.014480673407009	0.177704181204433	0	0	1.835960303561	7.77518243865742	LYN;CD40;PARP1;SYK;PRKCB;BCL10;TNFRSF13C;NFKB2;RELB;TRAF6;TRAF5;BTK;PLCG2;BCL2;BLNK;LTA;ATM;LTB;CARD11;BIRC3
mRNA surveillance pathway	19/98	0.015533030663096	0.177704181204433	0	0	1.85426695842451	7.72262601793956	UPF2;CPSF7;NXT1;RNGTT;RBM8A;FUS;RNMT;PABPC4;EIF4A3;UPF3B;SRRM1;PPP2CA;PNN;NXF1;PCF11;PAPOLA;SAP18;RNPS1;PABPC1
