p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
5.85758975613554e-164	3.40603873364184	0.356	0.117	1.96451845241274e-159	c28	HSPA6
1.60206562489623e-128	2.58878916098775	0.366	0.141	5.37300769277696e-124	c28	BAG3
1.79341233984943e-114	2.41792722619523	0.646	0.421	6.01474630538702e-110	c28	HSPA1A
3.83548724133612e-112	2.25512044750684	0.605	0.374	1.28634571099931e-107	c28	HSPA1B
1.59256914546275e-93	1.78766371668046	0.776	0.637	5.34115840005299e-89	c28	HSPE1
4.65021164855832e-92	2.01650267687416	0.753	0.613	1.55958798269349e-87	c28	DNAJB1
1.80624152496656e-88	2.51211330350411	0.558	0.363	6.05777282643284e-84	c28	HSPH1
3.65392775190358e-88	0.549770962489382	0.796	0.463	1.22545428943342e-83	c28	CCL5
8.26237130446368e-85	1.59778720282205	0.867	0.791	2.77103408809103e-80	c28	HSP90AA1
2.88653263752407e-81	1.35613976497109	0.825	0.73	9.68085315972823e-77	c28	HSP90AB1
6.79355101164981e-81	0.576431993612422	0.836	0.56	2.27842113828711e-76	c28	IL32
1.82235185618237e-76	2.22045355305618	0.595	0.425	6.11180365526443e-72	c28	HSPD1
1.26719213651892e-70	0.994913557555619	0.854	0.766	4.24990898745717e-66	c28	HSPA8
3.87221959221425e-67	1.27791489543047	0.693	0.571	1.29866500683682e-62	c28	DNAJA1
8.31016805616427e-67	3.35660582491225	0.283	0.128	2.78706416267637e-62	c28	MT1E
1.58191757607818e-65	1.41862629802924	0.568	0.398	5.30543516665101e-61	c28	HSPB1
2.66504259743747e-62	1.3108943948421	0.903	0.87	8.93801986328578e-58	c28	UBC
4.83590771424184e-60	1.60214840779379	0.527	0.369	1.62186672920243e-55	c28	CACYBP
4.15981888421581e-54	2.33463582770697	0.284	0.146	1.3951200573883e-49	c28	FKBP4
1.3065125287757e-53	2.54989763210503	0.14	0.046	4.38178171900793e-49	c28	SERPINH1
3.77637797381115e-52	0.89477803302463	0.807	0.749	1.26652164485678e-47	c28	UBB
2.85011233092807e-51	1.73921278307791	0.331	0.186	9.55870673546657e-47	c28	AHSA1
4.47694952831157e-51	1.0234733280033	0.155	0.054	1.50147933280513e-46	c28	RNASE1
3.66185248551687e-50	2.46720269598217	0.168	0.065	1.22811208659265e-45	c28	DNAJA4
7.93143043638283e-48	1.6166623651222	0.359	0.215	2.66004313975407e-43	c28	ZFAND2A
1.26875916809528e-47	2.14334726255729	0.101	0.029	4.25516449795796e-43	c28	MT1G
4.84320052830378e-46	0.516089342507167	0.645	0.416	1.62431259318252e-41	c28	NKG7
3.27891402215371e-44	0.4613495863953	0.897	0.768	1.09968218474991e-39	c28	S100A4
7.86399406483055e-42	1.71517315494587	0.346	0.213	2.63742632946287e-37	c28	CHORDC1
1.23919724709049e-39	0.391997831714894	0.753	0.531	4.15601972729209e-35	c28	CD3E
1.13150620968039e-37	2.66641823595252	0.428	0.302	3.7948455260261e-33	c28	MT1X
1.72167168409041e-36	0.17702246741649	0.595	0.374	5.77414249410243e-32	c28	GZMA
9.53180450565913e-35	1.51865369477948	0.381	0.264	3.19677659510796e-30	c28	TCP1
7.88614207775482e-34	1.95532548819266	0.147	0.063	2.64485433003741e-29	c28	TNFSF14
9.00485909164156e-34	0.369769227713978	0.73	0.549	3.02004964215475e-29	c28	LGALS1
5.1203627583387e-33	2.15244942859668	0.576	0.45	1.71726726189163e-28	c28	MT2A
2.00246361396673e-31	0.487544857530407	0.738	0.629	6.71586246852163e-27	c28	HCST
2.34383164397908e-31	0.787093270227765	0.32	0.187	7.86074256757702e-27	c28	IFNG
6.27438788136018e-31	0.756654682224961	0.334	0.197	2.10430420765058e-26	c28	KLRB1
1.30487343072864e-30	0.73296382247284	0.643	0.564	4.37628451197772e-26	c28	SOD1
1.70016624562246e-30	0.369276348479356	0.931	0.929	5.7020175545686e-26	c28	RPS26
9.92191398999433e-30	0.313749078801342	0.852	0.682	3.3276115139643e-25	c28	IFITM1
2.62863454576941e-28	0.380947960499052	0.613	0.448	8.81591453960144e-24	c28	CST7
3.89507787396714e-28	0.299393186380289	0.433	0.279	1.3063312173711e-23	c28	GNLY
6.43489063971923e-28	0.320599248658925	0.658	0.466	2.15813362274904e-23	c28	CD3D
8.93021877649679e-27	0.172716380585809	0.999	0.997	2.99501677326149e-22	c28	B2M
3.22433396833919e-26	0.665554240316807	0.328	0.204	1.0813771263016e-21	c28	HOPX
6.61564772717284e-26	0.598309109398767	0.429	0.287	2.21875593473923e-21	c28	CD3G
1.31023655557459e-25	0.475011604343261	0.393	0.251	4.39427136008607e-21	c28	GZMH
1.64688817637918e-25	1.2326754051428	0.271	0.172	5.52333356594048e-21	c28	DEDD2
6.03311070415787e-25	0.539405822012808	0.42	0.279	2.02338466796047e-20	c28	TRBC1
4.31748974054317e-24	0.247171264889448	0.495	0.33	1.44799970918337e-19	c28	GZMB
4.86298092972859e-24	0.652132581825911	0.343	0.221	1.63094654421237e-19	c28	GZMM
5.97280814059012e-24	0.371147173660325	0.809	0.765	2.00316039419111e-19	c28	MYL12A
9.76396606181508e-24	0.367153690501604	0.596	0.434	3.27463893781154e-19	c28	CD2
1.19712157342584e-23	0.497361492344618	0.998	0.986	4.01490633295559e-19	c28	MALAT1
1.31679812223031e-22	0.815530235974055	0.564	0.498	4.41627754233603e-18	c28	DNAJB6
2.70149760401312e-22	0.211466447450759	0.65	0.483	9.06028266433922e-18	c28	CD7
5.86812946947802e-22	1.67345944432222	0.07	0.025	1.96805326147354e-17	c28	NUPR1
2.57846025000547e-21	0.872936189348321	0.394	0.296	8.64763998646836e-17	c28	DOK2
3.41432998562643e-21	0.32456637134925	0.919	0.897	1.14509799057939e-16	c28	RPS29
6.41248051580601e-21	1.45626251276839	0.246	0.161	2.15061771539102e-16	c28	STIP1
1.50631047421527e-20	0.908239277714324	0.448	0.369	5.05186406842316e-16	c28	CCT4
3.03654151066805e-20	1.51047621046816	0.198	0.12	1.01839529184785e-15	c28	DNAJB4
4.68415481077714e-20	0.771963563668603	0.288	0.187	1.57097184043844e-15	c28	ITK
6.79793265250135e-20	1.19646971283115	0.129	0.064	2.2798906529959e-15	c28	FGFBP2
1.37017068642625e-19	1.24201816450743	0.317	0.234	4.59527844813635e-15	c28	MRPL18
2.4075006616771e-19	0.888257453746057	0.19	0.108	8.07427571913266e-15	c28	THEMIS
2.58177010916281e-19	0.198317510419828	0.991	0.991	8.65874059211023e-15	c28	RPS27
3.74589514111993e-19	0.198700663316123	0.826	0.759	1.2562983124288e-14	c28	IFITM2
4.71124439829704e-19	0.165560757827172	0.99	0.978	1.58005714630086e-14	c28	HLA-B
5.76767665156239e-19	0.884403295409286	0.368	0.275	1.93436339540099e-14	c28	TSPYL2
9.86123773657229e-19	0.718132938263989	0.321	0.222	3.30726191209162e-14	c28	PARP8
1.23676836958447e-18	0.277047345589735	0.966	0.966	4.1478737579124e-14	c28	RPL41
4.47346623394427e-18	0.339890986252438	0.73	0.672	1.50031110554023e-13	c28	CD99
1.33183449860441e-17	1.07289607668135	0.293	0.209	4.46670654141948e-13	c28	CDC42EP3
2.40255725049745e-17	1.8562263066713	0.215	0.14	8.05769650671835e-13	c28	MT1F
3.56850938972386e-17	0.225988151232013	0.748	0.647	1.19680667912559e-12	c28	S100A10
3.76144078438309e-17	0.421016119815363	0.699	0.645	1.2615120102664e-12	c28	SRSF7
4.70675653154411e-17	0.710568244742081	0.397	0.305	1.57855200554926e-12	c28	PPP2R5C
1.03903270226713e-16	0.551096036955269	0.497	0.399	3.48470787686349e-12	c28	RARRES3
1.26352957497261e-16	0.578801446043559	0.554	0.455	4.23762548854314e-12	c28	ANXA1
1.77471558688788e-16	1.12416659844832	0.241	0.164	5.95204113530456e-12	c28	PRKACB
3.12516860181985e-16	1.0190159141802	0.182	0.11	1.04811904567834e-11	c28	MATK
4.76869526269234e-16	0.319260287803532	0.548	0.433	1.59932501720176e-11	c28	TRBC2
5.23528941856912e-16	0.676520565249842	0.596	0.547	1.75581136519971e-11	c28	PTGES3
1.64639923280057e-15	0.223678996383254	0.942	0.924	5.52169374696654e-11	c28	SH3BGRL3
1.67833800377687e-15	0.86185512524201	0.356	0.281	5.62880999706687e-11	c28	TAF7
3.43329206518596e-15	0.353819279396729	0.297	0.199	1.15145749282207e-10	c28	LINC01871
5.18572688589413e-15	1.15605943405172	0.291	0.22	1.73918908299118e-10	c28	NUDC
8.70231825836571e-15	0.620608016498993	0.292	0.203	2.91858349749069e-10	c28	RORA
1.22774420679111e-14	0.710893278673723	0.317	0.233	4.11760852073603e-10	c28	SYNE2
1.37963213322444e-14	0.437131280245244	0.501	0.407	4.62701024840811e-10	c28	GNG2
3.73161038780924e-14	0.715997205722986	0.142	0.081	1.25150749186346e-09	c28	IFI27
6.7361279023672e-14	0.886132714959198	0.376	0.306	2.25916257589591e-09	c28	ZC3HAV1
1.38854912623537e-13	0.37074323790273	0.395	0.294	4.65691605956819e-09	c28	SPOCK2
2.90137205712893e-13	0.471536784895996	0.315	0.227	9.73062160519901e-09	c28	SKAP1
3.60562847820088e-13	0.704055307075644	0.179	0.112	1.20925567901901e-08	c28	CLIC3
6.05401170396769e-13	0.646485676812448	0.337	0.258	2.03039444527668e-08	c28	PTPN22
1.02422337554791e-12	0.421154813553773	0.372	0.28	3.43504035691258e-08	c28	CD247
1.68549736443361e-12	0.417701904386444	0.363	0.273	5.65282106083743e-08	c28	SYTL3
2.08991256000179e-12	0.614132219382513	0.384	0.308	7.00914874373402e-08	c28	RUNX3
4.66986467026411e-12	0.312455477515559	0.449	0.349	1.56617921311318e-07	c28	LCK
5.64118796759618e-12	1.39599698565172	0.057	0.025	1.89194162057241e-07	c28	TSPAN2
6.18184242700342e-12	0.242744953565963	0.351	0.254	2.07326631316841e-07	c28	PRF1
8.13463006779428e-12	0.240061486531882	0.8	0.786	2.72819223213685e-07	c28	CALM1
2.52305268758093e-11	0.378844076642532	0.285	0.202	8.46181410360894e-07	c28	CTSW
2.58532201763723e-11	1.95782087239141	0.022	0.006	8.67065298275174e-07	c28	AC136475.3
4.49264965660792e-11	1.34188595051509	0.075	0.038	1.50674484183316e-06	c28	DTHD1
7.28725285190951e-11	0.484869086210608	0.542	0.507	2.44399886147341e-06	c28	DYNLL1
8.81472101640465e-11	0.272639887698516	0.284	0.203	2.95628113448179e-06	c28	CD8B
1.07256161521124e-10	0.812019266568837	0.147	0.094	3.59715714509546e-06	c28	TC2N
1.19550835524688e-10	1.08875789957544	0.139	0.089	4.00949592182697e-06	c28	GTF3C1
1.95450595293268e-10	0.235393120083068	0.822	0.824	6.55502206494563e-06	c28	TMA7
2.92063684279701e-10	0.156276249195141	0.822	0.766	9.7952318433726e-06	c28	CRIP1
3.33876569729583e-10	0.605270244238767	0.246	0.179	1.11975523955908e-05	c28	STAT4
4.49173724864892e-10	0.318617702072851	0.522	0.455	1.50643883845188e-05	c28	EVL
4.73137962446287e-10	0.299879123292128	0.338	0.256	1.58681009845236e-05	c28	SH2D2A
8.52217716904563e-10	2.08363574247528	0.032	0.012	2.85816777895452e-05	c28	FBXL14
8.89518590211504e-10	0.491679217608352	0.454	0.394	2.98326744785134e-05	c28	RNF213
1.03714781260285e-09	0.12558184594891	0.149	0.093	3.47838633390745e-05	c28	TRBV28
1.07322155427813e-09	1.28754657685582	0.029	0.011	3.59937044873799e-05	c28	LINC00299
1.36341948419278e-09	0.525831222085362	0.14	0.089	4.57263626608576e-05	c28	KLRC1
1.40064768609029e-09	0.950538269377555	0.132	0.085	4.6974922096096e-05	c28	INPP4B
1.40284929086589e-09	0.677343694967843	0.363	0.308	4.70487595170602e-05	c28	CCNH
2.00516113295857e-09	0.410139093796191	0.183	0.124	6.72490940771645e-05	c28	LAIR2
2.17500682912174e-09	1.41519108526181	0.116	0.073	7.29453790350848e-05	c28	CGAS
2.26710732975112e-09	0.596720211436319	0.151	0.099	7.60342456251931e-05	c28	LINC02446
2.56373757518183e-09	0.814214254959714	0.138	0.089	8.59826307964482e-05	c28	SAMD3
2.97804136963711e-09	0.88098585620571	0.229	0.178	9.98775514548894e-05	c28	STOM
3.0187153230681e-09	1.25316856913704	0.153	0.105	0.000101241674505058	c28	SLC5A3
3.2544438139593e-09	0.741616995634	0.196	0.141	0.000109147536632567	c28	LIME1
3.41851724183487e-09	0.494440765718972	0.351	0.281	0.000114650231256658	c28	IL7R
3.46673259246549e-09	0.809641851377546	0.09	0.052	0.000116267277686108	c28	TGFBR3
3.5691321539908e-09	0.26264351323563	0.223	0.156	0.000119701554180544	c28	KLRD1
3.66096455491798e-09	0.393719170363737	0.277	0.207	0.000122781429242839	c28	ZAP70
4.91396358192819e-09	0.347017674594668	0.307	0.235	0.000164804510610708	c28	CD96
5.15385512551276e-09	0.766032641427021	0.184	0.131	0.000172849993199447	c28	RNF125
6.39664206734966e-09	0.922768264225872	0.106	0.065	0.000214530581654773	c28	KLRG1
6.63912530422462e-09	0.706094878763872	0.112	0.069	0.000222662984453085	c28	FASLG
9.46710700812661e-09	0.502516388606294	0.314	0.251	0.00031750783483855	c28	C12orf75
1.01880367440369e-08	0.215159667902505	0.634	0.564	0.000341686376321511	c28	CD69
1.04555073474768e-08	0.684950931540832	0.192	0.137	0.000350656805419676	c28	CAMK4
1.30439269768747e-08	0.162389157882729	0.345	0.259	0.000437467222950423	c28	CD8A
1.89887969467069e-08	0.606151532579262	0.375	0.326	0.000636846271998657	c28	AHNAK
1.90372452414996e-08	0.155466726893784	0.923	0.92	0.000638471130909415	c28	ATP5F1E
2.46870559974049e-08	0.452053165156948	0.191	0.135	0.000827954484040965	c28	PBX4
3.07225311532706e-08	0.118814291860627	0.879	0.869	0.00103037224981839	c28	HLA-C
3.25901656836826e-08	0.462415697504992	0.7	0.673	0.00109300897669935	c28	JUN
3.33683114110571e-08	0.323294491706871	0.937	0.941	0.00111910642810403	c28	FTL
3.44219901826727e-08	0.349360574756988	0.484	0.427	0.00115444470674648	c28	ID2
4.04996567470022e-08	1.01033674487096	0.23	0.184	0.00135827748798096	c28	HSPA4
4.39421169231625e-08	0.640140136083329	0.208	0.153	0.00147373071736902	c28	TSEN54
5.35942167801311e-08	0.632764474051182	0.214	0.161	0.00179744284237204	c28	ITGAL
6.4964339529615e-08	0.430108452087647	0.312	0.249	0.00217877401914423	c28	CBLB
7.3730668262045e-08	0.201257444232099	0.124	0.08	0.00247277915217246	c28	XCL2
7.38906598997471e-08	0.969303709530425	0.047	0.023	0.00247814495171772	c28	FCRL6
7.86494611524952e-08	0.576424791647246	0.088	0.053	0.00263774562813238	c28	TRGV10
8.64383977319692e-08	0.328218399556857	0.723	0.725	0.00289897098313478	c28	HNRNPA2B1
1.15129861901054e-07	0.611011698096704	0.145	0.099	0.00386122530843753	c28	SCML4
1.17756984640085e-07	1.32518191866149	0.044	0.021	0.00394933375085917	c28	TRGV7
1.22218588339171e-07	0.695851387428605	0.057	0.03	0.00409896701571912	c28	S1PR5
1.23708086956917e-07	0.430123296772098	0.357	0.302	0.00414892182036107	c28	IL2RG
1.25216960134374e-07	0.449535776435482	0.286	0.226	0.00419952640898663	c28	PRKCH
1.48063658570911e-07	0.174967780520537	0.753	0.764	0.00496575898115123	c28	SRP14
1.49994521930042e-07	0.758932872454577	0.23	0.179	0.00503051627648974	c28	ARAP2
1.5526567877402e-07	0.756637143031108	0.12	0.079	0.0052073003347231	c28	SYTL2
1.65760174972108e-07	0.42329818548657	0.473	0.44	0.00555926474821457	c28	MYH9
1.86767397036514e-07	0.952917937099429	0.045	0.022	0.0062638049618106	c28	PTGDR
1.90093067748236e-07	0.333759320872014	0.459	0.407	0.00637534130614035	c28	CLEC2B
1.93731791105356e-07	1.45419396469634	0.029	0.012	0.00649737681009142	c28	SLC14A1
2.11791487240959e-07	0.633151433844196	0.273	0.224	0.00710306289908729	c28	SEMA4D
2.48745656663523e-07	0.685344372538402	0.237	0.186	0.00834243183318125	c28	RBL2
2.5180919187352e-07	0.750613721504753	0.135	0.092	0.00844517667705412	c28	LINC00861
2.5713463651118e-07	0.427526693140941	0.372	0.318	0.00862378143931194	c28	ACAP1
3.18912608900985e-07	1.15860742935486	0.043	0.021	0.0106956910773212	c28	MYOM2
3.44140464550049e-07	0.727903050200985	0.278	0.231	0.0115417829000795	c28	MACF1
4.05386469748893e-07	0.146787342087604	0.731	0.703	0.0135958514224384	c28	PTPRC
4.73212729510554e-07	0.111176922632306	0.737	0.635	0.015870608522325	c28	PTPRCAP
4.98073451318235e-07	0.320391020469375	0.594	0.551	0.016704387410311	c28	LCP1
4.99769467321434e-07	1.47918283062556	0.021	0.008	0.0167612683950263	c28	B3GAT1
6.4125023050772e-07	0.2411415830376	0.292	0.227	0.0215062502307679	c28	IL2RB
6.80702368772591e-07	0.370675748893414	0.258	0.201	0.0228293960438951	c28	CD6
9.33526737569723e-07	1.07086543050073	0.073	0.044	0.0313086197246134	c28	YES1
1.05557452966741e-06	1.96165112995902	0.02	0.007	0.0354018585759857	c28	KLHL25
1.09525337898834e-06	0.310363490168063	0.577	0.556	0.0367326078245109	c28	MBNL1
1.13728284688043e-06	0.580453890643677	0.222	0.173	0.038142192118676	c28	NFATC2
