Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Myc Targets V1	53/200	9.45142539843884e-05	0.0034932774770303	0	0	1.91005867996053	17.7000551802439	SLC25A3;HSP90AB1;RPL34;RPLP0;PWP1;PHB2;RPL6;EEF1B2;FBL;SNRPD2;MYC;C1QBP;RACK1;RPS10;CCT2;EIF1AX;PABPC4;RPS5;RPL22;IFRD1;RPS6;UBE2E1;ILF2;GNL3;TCP1;SNRPA1;MCM5;PABPC1;SRSF7;GLO1;ODC1;NOLC1;DDX21;HSPD1;TRA2B;RPS3;RPL14;EIF4H;RPS2;RPL18;HNRNPA1;XRCC6;NPM1;SF3A1;NOP16;CNBP;HSPE1;RSL1D1;LSM7;APEX1;IMPDH2;RNPS1;EIF3D
Myc Targets V2	21/58	0.000142582754164502	0.0034932774770303	0	0	2.99617060385322	26.5328524329581	NPM1;NOP16;NOP2;WDR74;NOLC1;IMP4;PPRC1;HSPE1;WDR43;GNL3;TBRG4;HSPD1;SUPV3L1;RCL1;MYC;GRWD1;NDUFAF4;MCM5;UTP20;RRP12;SLC29A2
TNF-alpha Signaling via NF-kB	51/200	0.00034886471640216	0.00569812370123528	0	0	1.81193973811423	14.4245375991012	BTG2;CDKN1A;TNFAIP8;BTG1;CD83;B4GALT1;SLC2A3;AREG;MYC;KYNU;PDE4B;PMEPA1;MAP3K8;JUNB;IER2;ICOSLG;KDM6B;TGIF1;DUSP1;IFNGR2;FOS;RHOB;SIK1;PLPP3;SQSTM1;BIRC3;PPP1R15A;BCL2A1;RELB;SNN;HES1;JUN;EGR3;SMAD3;ZBTB10;ATP2B1;KLF2;EIF1;NFKB2;NR4A2;PER1;NR4A1;IL6;KLF6;MARCKS;NR4A3;GPR183;REL;TNFSF9;FOSB;CD69
Allograft Rejection	48/200	0.0020526096382187	0.0251444680681791	0	0	1.66980327923652	10.3338168782837	CD40;NCF4;BCL10;CD1D;RPL9;HDAC9;CD79A;HLA-DMA;CCND3;HLA-DMB;RPS19;IL12A;CSK;HLA-DOA;RPL39;HLA-DOB;ICOSLG;HLA-DQA1;SOCS5;LYN;MAP4K1;TPD52;EIF5A;CD74;NPM1;RPS9;IL4R;PRKCB;IL15;IFNGR2;LY86;IL16;RPS3A;HLA-E;TAPBP;TLR1;IL6;IL7;IRF4;UBE2N;HLA-DRA;IRF8;PTPN6;TLR6;CD47;LTB;FCGR2B;EIF3D
Androgen Response	22/100	0.069896823742796	0.654536875735154	0	0	1.48576620230164	3.95323024146144	TPD52;IDI1;XRCC6;TNFAIP8;UBE2I;B4GALT1;HMGCS1;ELOVL5;NGLY1;ZBTB10;ARID5B;KLK2;ELL2;PIAS1;UBE2J1;ELK4;CCND3;MAK;PMEPA1;PTK2B;RRP12;NKX3-1
TGF-beta Signaling	13/54	0.0801473725389985	0.654536875735154	0	0	1.66921497732565	4.21291195492454	BCAR3;TGIF1;PPP1R15A;SMAD3;HDAC1;IFNGR2;ARID4B;HIPK2;PMEPA1;ID3;JUNB;SKIL;SPTBN1
Notch Signaling	8/32	0.126905054570301	0.88833538199211	0	0	1.7538413295704	3.62048284774755	APH1A;KAT2A;MAML2;FBXW11;DTX1;HES1;DTX4;DLL1
p53 Pathway	37/200	0.188419365936001	0.99999401551506	0	0	1.19530946649064	1.99507325690153	RB1;PPP1R15A;CDKN1A;BTG2;BTG1;CD82;PVT1;RGS16;NOL8;PPM1D;CDKN2AIP;ZFP36L1;HINT1;CCND3;SESN1;MKNK2;RPL36;RACK1;RPL18;RPS12;SLC19A2;TSPYL2;JUN;ZBTB16;RHBDF2;AEN;FOS;CGRRF1;BLCAP;TRAF4;DDIT3;CCNG1;TXNIP;TNFSF9;COQ8A;ISCU;CDK5R1
UV Response Dn	26/144	0.279772849394519	0.99999401551506	0	0	1.15936800132557	1.4767765928353	PHF3;IRS1;YTHDC1;CACNA1A;PRDM2;LAMC1;NIPBL;SCAF8;SIPA1L1;GRK5;MYC;TOGARAM1;APBB2;SMAD3;MIOS;SFMBT1;DUSP1;MGMT;PRKCE;BCKDHB;ATRX;NR1D2;ATP2B1;VAV2;COL1A1;PLPP3
Estrogen Response Early	34/200	0.375914182339533	0.99999401551506	0	0	1.07732479078502	1.05404854239436	FCMR;B4GALT1;NXT1;ISG20L2;SLC2A1;CELSR1;AREG;SYNGR1;ABLIM1;FAM102A;MYC;SH3BP5;HES1;RRP12;SYBU;SLC19A2;FDFT1;KDM4B;EGR3;SLC37A1;OPN3;TGIF2;ELOVL5;SIAH2;AMFR;FOS;GAB2;CBFA2T3;ELF1;RARA;BCL2;UNC119;CHPT1;GLA
