Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Protein processing in endoplasmic reticulum	73/171	7.43421445866862e-19	2.32690912556328e-16	0	0	4.3980622193167	183.588416101849	ERO1A;TRAM1;HERPUD1;SEC61A1;MAN1A2;SEC61G;MAN1A1;SEC61B;SIL1;UBXN6;SEC63;HSP90AA1;SEC13;SSR4;SSR3;MOGS;PDIA6;CKAP4;PDIA4;ERN1;DNAJC3;DNAJC1;SELENOS;DNAJC5;DNAJB11;CANX;PREB;ATF6;ATF4;RPN2;SAR1B;DERL3;HSPA4L;RPN1;SEL1L;DERL1;RRBP1;HSP90B1;UBE2J1;DNAJB1;ERLEC1;LMAN1;HSPH1;OS9;LMAN2;SSR1;UGGT2;UBQLN4;SEC31A;TXNDC5;BCAP31;MBTPS1;XBP1;SEC24A;HSPA1L;WFS1;EDEM1;EDEM2;HSPA6;EIF2AK3;SYVN1;UBE2G1;EIF2AK4;NSFL1C;DNAJC10;STT3A;HYOU1;P4HB;SEC24D;RNF185;HSPA1B;MBTPS2;HSPA1A
Lysosome	54/128	4.63837299019938e-14	7.25905372966203e-12	0	0	4.28624716033917	131.595621564179	SCARB2;HEXB;CTSZ;HEXA;TCIRG1;LIPA;CTSS;MFSD8;NAGLU;GM2A;CTSL;LAMP2;AP1S2;CTSH;ACP2;CTSF;GUSB;CTSD;CTSB;ARSA;ATP6V0B;ATP6AP1;SLC11A1;GAA;SLC11A2;AP1B1;PLA2G15;NPC2;DNASE2;ATP6V0D1;CD63;ASAH1;IDUA;GBA;ABCB9;GNS;PSAP;SLC17A5;AGA;ATP6V0A1;CTSA;SORT1;FUCA2;AP3D1;NAGA;MCOLN1;GNPTG;GLB1;PPT1;MAN2B1;TPP1;CD68;GLA;LGMN
Rheumatoid arthritis	43/93	3.8629248761099e-13	4.03031828740799e-11	0	0	5.03938662991041	144.036663669931	CD86;ATP6V1A;CXCL8;FLT1;CCL3L1;CXCL1;TCIRG1;CXCL3;CXCL2;CXCL5;ICAM1;TNFSF13B;HLA-DMA;HLA-DMB;CTSL;CCL3;CCL2;ATP6V1E1;HLA-DOB;HLA-DQA1;HLA-DPA1;ATP6V0A1;ATP6V1F;ATP6V0B;JUN;ATP6AP1;CCL20;TNFSF13;IL18;FOS;VEGFA;IL1A;IL6;CXCL12;IL1B;ATP6V1B2;HLA-DPB1;HLA-DRA;ATP6V0D1;TLR4;HLA-DRB1;HLA-DQB1;TLR2
Phagosome	55/152	4.20806560968773e-11	3.29281133958065e-09	0	0	3.32711447222916	79.4895323500832	SCARB1;ITGAM;NCF1;NCF2;NCF4;TCIRG1;CTSS;FCAR;SEC61A1;FCGR3A;FCGR3B;CTSL;SEC61G;LAMP2;MRC1;OLR1;CD36;SEC61B;ATP6V1E1;HLA-DOB;HLA-DPA1;ATP6V0B;ATP6AP1;STX7;CYBB;CANX;ATP6V1B2;ITGA5;TLR6;ATP6V0D1;SEC22B;TLR4;HLA-DQB1;TLR2;VAMP3;ATP6V1A;DYNC1I2;THBS1;HLA-DMA;HLA-DMB;CLEC7A;CD14;FCGR1A;RILP;HLA-DQA1;ATP6V0A1;ATP6V1F;MSR1;MARCO;FCGR2A;CD209;HLA-DPB1;HLA-DRA;FCGR2B;HLA-DRB1
Leishmaniasis	33/77	2.33845102740618e-09	1.46387034315627e-07	0	0	4.38126717032967	87.0723270748444	ITGAM;NCF1;NCF2;NCF4;PTGS2;FCGR3A;HLA-DMA;FCGR3B;HLA-DMB;IRAK1;JAK2;FCGR1A;HLA-DOB;HLA-DQA1;HLA-DPA1;IL10;JUN;STAT1;IFNGR2;CYBB;FOS;MAPK12;NFKBIA;IL1A;FCGR2A;IL1B;HLA-DPB1;HLA-DRA;TAB2;TLR4;HLA-DRB1;HLA-DQB1;TLR2
Tuberculosis	56/180	1.70482724001818e-08	8.89351543542815e-07	0	0	2.64667984233857	47.3417365737668	ITGAM;TCIRG1;CTSS;FCGR3A;FCGR3B;CASP10;CASP3;LAMP2;MRC1;ITGAX;JAK2;HLA-DOB;CTSD;HLA-DPA1;IL10;ATP6V0B;FCER1G;ATP6AP1;SYK;RIPK2;IFNGR2;SPHK1;IL18;TNFRSF1A;TLR1;IL1A;IL1B;TLR6;ATP6V0D1;CLEC4E;TLR4;HLA-DQB1;TLR2;CEBPB;NOD2;HLA-DMA;HLA-DMB;IRAK1;CLEC7A;CD14;BID;FCGR1A;HLA-DQA1;ATP6V0A1;CD74;NFYB;STAT1;CARD9;MAPK12;IL6;FCGR2A;CD209;HLA-DPB1;HLA-DRA;FCGR2B;HLA-DRB1
Hematopoietic cell lineage	37/99	2.29401526152492e-08	1.02575253836757e-06	0	0	3.48727093224475	61.3424106520372	CSF1R;CSF3R;ITGAM;FLT3;IL5RA;CD1E;CD1C;CSF2RA;CD1A;HLA-DMA;HLA-DMB;ANPEP;CD38;CD59;CD14;CD36;FCGR1A;HLA-DOB;IL6R;HLA-DQA1;CD33;HLA-DPA1;IL11RA;IL1R2;IL1A;IL6;CD4;IL1B;IL2RA;IL3RA;HLA-DPB1;HLA-DRA;CD9;ITGA6;ITGA5;HLA-DRB1;HLA-DQB1
Osteoclast differentiation	43/127	5.1581499655111e-08	2.01812617400622e-06	0	0	2.99363739293098	50.2335430872337	LILRA6;CSF1R;SPI1;NCF1;NCF2;NCF4;TREM2;PIK3CB;LILRA1;LILRA2;LILRA5;SOCS3;FCGR3A;FCGR3B;BLNK;SIRPA;FCGR1A;IFNAR2;JUN;JUND;SYK;STAT1;IFNGR2;STAT2;MITF;LILRB1;FOS;LILRB2;LILRB3;LILRB4;MAPK12;OSCAR;TNFRSF1A;NFKBIA;IL1A;TYROBP;FCGR2A;PIK3CA;IL1B;FOSB;TAB2;FCGR2B;IFNAR1
Viral protein interaction with cytokine and cytokine receptor	36/100	1.07412841184278e-07	3.73557992118655e-06	0	0	3.28547181161911	52.7206062974335	CSF1R;CCL13;CXCL9;CXCL8;IL20;CCL3L1;CCL4L2;CXCL1;CXCL3;CXCL2;CXCL5;CCL7;CCL4;CCL3;CCL2;CCL18;IL6R;CCR10;PF4V1;CCR2;CCR1;IL10;CCL24;CCL20;IL18;PPBP;TNFRSF10D;TNFRSF1A;CXCL10;CXCL11;IL6;CXCL12;IL2RA;ACKR3;LTBR;CCL27
Staphylococcus aureus infection	33/95	9.20453773161058e-07	2.88102030999411e-05	0	0	3.10599632222616	43.1683763552688	C1QB;CFD;C1QA;ITGAM;C5AR1;PTAFR;FPR1;DEFB1;FPR3;FPR2;FCAR;ICAM1;C2;C4B;C4A;FCGR3A;HLA-DMA;FCGR3B;HLA-DMB;C3AR1;FCGR1A;HLA-DOB;HLA-DQA1;HLA-DPA1;IL10;FCGR2A;HLA-DPB1;HLA-DRA;FCGR2B;CFB;HLA-DRB1;HLA-DQB1;C1QC
Toll-like receptor signaling pathway	35/104	1.02641110505191e-06	2.92060614437498e-05	0	0	2.96085462423427	40.8285337161664	CD86;CD40;CXCL9;CXCL8;CCL3L1;CCL4L2;LY96;PIK3CB;IRAK1;CCL4;CCL3;SPP1;CD14;IFNAR2;JUN;MAP2K2;STAT1;FOS;MAPK12;NFKBIA;TLR1;CXCL10;CXCL11;IL6;PIK3CA;TOLLIP;IL1B;IRF7;TAB2;TLR7;TLR6;TLR5;TLR4;IFNAR1;TLR2
Lipid and atherosclerosis	58/215	2.05219339023853e-06	5.26027835535964e-05	0	0	2.16230455434972	28.318840832837	ERO1A;CD40;CXCL8;NCF1;NCF2;NCF4;CXCL1;PIK3CB;CXCL3;CXCL2;ICAM1;PYCARD;CASP3;OLR1;CD36;JAK2;HSP90AA1;IL18;CYBB;FOS;MMP9;TNFRSF1A;ERN1;PLCB3;PIK3CA;IL1B;IRF7;TLR6;ATF6;TLR4;ATF4;TLR2;CCL3L1;LY96;HSP90B1;RXRA;IRAK1;CCL3;NLRP3;CCL2;CD14;BID;ABCA1;LYN;JUN;XBP1;HSPA1L;HSPA6;EIF2AK3;POU2F2;SOD2;MAPK12;NFKBIA;IL6;TAB2;HSPA1B;HSPA1A;BCL2L1
Legionellosis	23/57	2.18478014759346e-06	5.26027835535964e-05	0	0	3.94052220477513	51.3607481071249	RAB1A;CXCL8;ITGAM;HSPA1L;SAR1B;HSPA6;IL18;CXCL1;CXCL3;CXCL2;PYCARD;NFKBIA;IL6;CASP3;IL1B;CD14;SEC22B;TLR5;TLR4;NAIP;HSPA1B;TLR2;HSPA1A
Pertussis	27/76	5.41006698557484e-06	0.000120953640463209	0	0	3.21132729993985	38.944566054615	C1QB;C1QA;CXCL8;ITGAM;LY96;CXCL5;C2;GNAI2;C4B;PYCARD;C4A;IRAK1;CASP3;CFL2;NLRP3;CD14;IL10;JUN;FOS;MAPK12;IL1A;IL6;IL1B;SERPING1;ITGA5;TLR4;C1QC
Chemokine signaling pathway	52/192	5.98091091727798e-06	0.000124801674473867	0	0	2.17169522492716	26.1188431177703	CXCL9;GSK3A;CXCL8;NCF1;CCL4L2;ARRB1;CXCL1;PIK3CB;CXCL3;CXCL2;CXCL5;CXCL16;GNGT2;JAK2;PF4V1;CCR2;PRKCD;FGR;HCK;PLCB3;ADCY9;PIK3CA;CCL13;CCL3L1;FOXO3;GNAI2;GNG10;PAK1;CCL7;GNG5;GNG7;CCL4;CCL3;CCL2;PTK2B;CCL18;CCR10;CCR1;LYN;CCL24;CCL20;STAT1;STAT2;PPBP;NFKBIA;CXCL10;CXCL11;CXCL12;GNAQ;GNB4;GNB3;CCL27
