Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Antigen processing and presentation	10/78	2.11300557553945e-10	3.74001986870483e-08	21.8808049535604	487.454873957226	HSP90AA1;HSPA6;HSPA8;HSPA4;IFNG;HSPA1A;HSPA1B;B2M;HLA-B;HSP90AB1	1	KEGG_2021_Human
Th17 cell differentiation	10/107	4.94897737353373e-09	4.37984497557735e-07	15.3166421207658	292.916763885576	FOXP3;RORA;HSP90AA1;IFNG;CD247;CD3G;CD3E;CD3D;LCK;HSP90AB1	2	KEGG_2021_Human
Th1 and Th2 cell differentiation	8/92	3.14791379044544e-07	1.85726913636281e-05	13.9492063492063	208.838530074244	IFNG;CD247;CD3G;CD3E;CD3D;IL12RB2;STAT4;LCK	3	KEGG_2021_Human
Estrogen signaling pathway	9/137	6.2541029875498e-07	2.76744057199079e-05	10.3522038246269	147.879760841187	HSPA1A;FKBP4;CALM1;HSPA1B;PRKACB;HSP90AA1;HSPA6;HSPA8;HSP90AB1	4	KEGG_2021_Human
T cell receptor signaling pathway	8/104	8.10565495644116e-07	2.86940185458017e-05	12.1981481481481	171.085537808655	IFNG;CD247;ITK;CD3G;CD3E;CD3D;CTLA4;LCK	5	KEGG_2021_Human
Lipid and atherosclerosis	10/215	3.44299158678462e-06	8.61835559047401e-05	7.20777553640198	90.6678324765306	HSPA1A;CALM1;HSPA1B;HSP90AA1;HSPA6;HSPA8;HSPA4;HSP90AB1;HSPD1;CCL5	6	KEGG_2021_Human
PD-L1 expression and PD-1 checkpoint pathway in cancer	7/89	3.4828363741461e-06	8.61835559047401e-05	12.4125717360115	155.997025320132	BATF;IFNG;CD247;CD3G;CD3E;CD3D;LCK	7	KEGG_2021_Human
Protein processing in endoplasmic reticulum	9/171	3.95494481816206e-06	8.61835559047401e-05	8.16542288557214	101.582301945688	HSPA1A;HSPA1B;HSPH1;HSP90AA1;HSPA6;HSPA8;DNAJB1;DNAJA1;HSP90AB1	8	KEGG_2021_Human
Mineral absorption	6/60	4.38221470702068e-06	8.61835559047401e-05	16.0608272506083	198.157785089051	MT1G;MT1E;MT1F;FTL;MT1X;MT2A	9	KEGG_2021_Human
Hematopoietic cell lineage	7/99	7.09093837992684e-06	0.000125509609324705	11.0577845268542	131.108754997125	CD2;CD7;CSF1;IL7R;CD3G;CD3E;CD3D	10	KEGG_2021_Human
