Cluster	CD2	CD3E	CD3D	CD3G	KLRD1	KLRC1	Cluster_Size	km_cluster	is_TCell
c1	8.06748337528997	13.3653432703734	12.2770579767353	4.24681012822234	2.78901423122973	2.02261662294023	11125	2	TRUE
c2	0.0364005789463382	0.0605389731113682	0.0381111205873388	0.0122065003672092	0.00699402416931694	0.00352670558493123	6926	1	FALSE
c3	5.63545333876849	9.25697013932884	5.95404509710187	1.99682831706733	0.0468218419870942	0.0347576224563082	6369	2	TRUE
c4	2.9442857665974	5.97124074464365	3.04291917785994	1.24443151211421	8.31050299110133	2.38567368043727	6309	1	FALSE
c5	7.81624716922082	11.7530858917313	9.64024724232779	3.56655499889161	0.981606140911635	0.874678304576637	5005	2	TRUE
c6	8.74580199894454	13.3107879394614	10.0062330152089	2.53842739421699	0.0516781932357552	0.0236086446079245	4620	2	TRUE
c7	6.15605256580525	10.912420979151	7.97739774199269	3.02359313017042	1.69257445534823	0.883603710094853	4571	2	TRUE
c8	9.23088603449776	14.6976392668754	17.4262583476143	4.95754935630241	2.86879696221876	2.69833219709814	4460	2	TRUE
c9	0.270951124460156	0.403286881575157	0.351331513035725	0.152758212110977	0.0953284404993027	0.0623076392180927	4229	1	FALSE
c10	0.590336069763552	0.926181911925914	0.891553449672498	0.26270098618614	0.0764833035923538	0.0542918749251523	3664	1	FALSE
c11	8.06029551825382	11.8281921699327	9.63455796966181	2.9806696466357	0.363230458886401	0.202742019772362	3475	2	TRUE
c12	0.235775258946745	0.356301728747354	0.305663748970939	0.111330558068649	0.0576668191064344	0.0299611538032135	3306	1	FALSE
c13	6.05149291851139	9.82106456913013	11.345659686817	3.75954373497672	1.99054704176967	2.1477034459965	3169	2	TRUE
c14	7.01029797618652	10.5873450883688	12.7029909055292	4.02279929678227	2.22347240937602	2.23083393394046	3130	2	TRUE
c15	0.566563225848782	0.920611961331598	0.70924185761827	0.199806170028038	0.113123194901896	0.0659792379377361	3100	1	FALSE
c16	7.29916469236882	11.5028550921728	8.45316032538194	2.15837317355532	0.0179526534447544	0.0106589591958083	2968	2	TRUE
c17	0.315639550478956	0.395395116373812	0.334638848335214	0.120766027958904	0.0556040629974192	0.034513697863762	2659	1	FALSE
c18	4.32604043394961	4.58918914649576	4.8972327807852	2.05534275528653	1.30994645476245	0.529313329642598	2613	1	FALSE
c19	0.656399827718976	0.823857612820939	0.552054403817817	0.188799247177222	0.113669754381225	0.05578077200372	2564	1	FALSE
c20	0.366900258985883	0.60853124924737	0.576686440862955	0.166488452130146	0.123318639196813	0.0453193287676787	2554	1	FALSE
c21	0.0777173057576096	0.0966349698475487	0.0853700487409001	0.0303260098876848	0.0117729754636482	0.00208814885965003	2437	1	FALSE
c22	0.220188414509429	0.511396819564555	0.360226971901289	0.0823487608847724	0.0553918556384546	0.0546379493230066	2009	1	FALSE
c23	4.91723994527357	8.24573726242865	7.46393323094924	2.48653135638187	1.38638818749	0.813479977403697	1931	2	TRUE
c24	0.784798470897246	1.28331817830132	1.21767870778107	0.485360599546448	0.245245879444983	0.127917218995419	1548	1	FALSE
c25	1.27557134721522	2.54353709841966	2.24082371665856	0.649820086367556	0.347699249075723	0.167555924665672	1367	1	FALSE
c26	1.29982909384214	1.98588881396963	2.23663967717825	0.722146845914616	0.241176575747298	0.193027506807679	1365	1	FALSE
c27	1.26278163068011	2.22307318914161	2.4646128540303	0.755625260084201	0.361652234837128	0.344985417505914	1341	1	FALSE
c28	5.40238620420029	8.82459794668613	7.32760727099634	2.89897004484649	1.5857705206988	1.11391218294672	1164	2	TRUE
c29	0.465265021664734	0.846073248233115	0.9996165791317	0.311351810289846	0.150074477739211	0.103612136659152	1087	1	FALSE
c30	0.406537876648658	0.564869940735412	0.465794668226963	0.184361669694478	0.0737598240366297	0.0604708376774908	761	1	FALSE
c31	8.29466709599259	15.4104136199021	14.9638351437746	3.79598105376236	0.920656651449464	0.84621896812401	536	2	TRUE
c32	0.273706595397912	0.447326896652085	0.213928097054142	0.0739036098456604	0.0605040278627897	0.0685123330309653	353	1	FALSE
c33	0.645913333347356	1.04835490946367	0.868444938385137	0.166116817908566	0.192706228350311	0.0285365021670746	242	1	FALSE
c34	0.367170437100265	0.332063083886448	0.208740307462702	0.146125008414832	0.0425334059966972	0.209405547073153	90	1	FALSE
